"","Agutaynen","Arta","Ata Manobo","Balangingi","Bonggi","Botolan Sambal","Central Cagayan Agta","Coastal-Naga Bikol","Central Bontoc","Filipino","Ibaloi","Ibanag","Ibatan","Ilongot","Isinai","Isnag","Kagayanen","Karao","Keley-i Kallahan","Kinaray-a","Maguindanao","Masbatenyo","Northern Subanen","Pangasinan","Pangutaran Sama","Rungus","Sabah Malay","Southern Sama","Tagabawa","Tambunan Dusun","Tatana","Tausug","Tboli","Timugon Murut","Tuwali Ifugao","Western Subanon","West Coast Bajau","Yakan","Yogad"
"Maguindanao",0.164451371097845,0.242918958209092,0.353516579550775,0.321151903318381,0.436736976347198,0.425574478319336,0.441926184803651,0.411259039014339,0.482748468135854,0.316187063552739,0.323989936327074,0.266319266443436,0.328079132993697,0.159013586398384,0.320762557515331,0.360000147169168,0.339438997180466,0.470806235902117,0.363215055544082,0.188050120329894,2.9324986883239e-11,0.267175645918459,0.495940787472574,0.317277501511394,0.341319666302994,0.538331016552148,0.44867380713501,0.431514693680658,0.211289033228031,0.538331016552148,0.503377794872095,0.190938556591089,0.389451515121503,0.427262201231507,0.274884728334691,0.43953215805946,0.585119584774703,0.366716877661572,0.34585068539232
"Masbatenyo",0.222794035654621,0.20778681276338,0.386351552451209,0.27829366014588,0.504068866160448,0.374777078605151,0.419801688231821,0.374928957509694,0.531481249820166,0.298575291661866,0.284710621762181,0.300976449975174,0.305659339299876,0.357243515137563,0.27818783490765,0.314358005610682,0.293127964475324,0.186718620076898,0.417210133392844,0.331580961425595,0.267175645918459,2.8167024268555e-11,0.525754533847269,0.275818966665434,0.29313424634546,0.48819379386412,0.487489079097864,0.38175197766919,0.404075928793817,0.48819379386412,0.48377686790935,0.31849405061036,0.346033777525717,0.386127186009129,0.32695619111194,0.143696600424835,0.536321212036138,0.325499151951448,0.322847282049187
"Northern Subanen",0.369952621691856,0.468406830787131,0.224209749044722,0.372199399538052,0.371467714571751,0.389702206280125,0.44218108574735,0.467134056842824,0.311386641178525,0.387049364879772,0.360134270701978,0.304775821663332,0.399236244428668,0.357269388261944,0.371717144529542,0.419554344912788,0.447976370530948,0.511719684120497,0.350223272849724,0.414648829247873,0.495940787472574,0.525754533847269,3.53279627773873e-11,0.394100506547201,0.405141521834042,0.092658664582295,0.414784251748581,0.405243912830573,0.327937577083433,0.092658664582295,0.487326080164674,0.476056186856632,0.445027579197107,0.403455968442837,0.267901039438302,0.494644933397752,0.156084225894945,0.409451999486624,0.417840004083401
"Pangasinan",0.285638521709366,0.322149729565815,0.22780388662538,0.19191916487759,0.350010914240383,0.20564189822486,0.263644050662029,0.213246120928025,0.405066233909515,0.121109238255406,0.196078688493989,0.215698986891649,0.223471784536594,0.277185421752138,0.191690590057473,0.236807922683263,0.264311740966214,0.368585796729525,0.265079817347108,0.250482439264198,0.317277501511394,0.275818966665434,0.394100506547201,3.99019706165404e-11,0.21418645705406,0.343617350526921,0.394355214943413,0.215531318746355,0.249626511614497,0.343617350526921,0.349027407073387,0.229195470375469,0.271539612241129,0.224068720283262,0.161477104800238,0.336291632791918,0.402323671342156,0.245943139026694,0.243599213149626
"Pangutaran Sama",0.184543243521308,0.32594424062848,0.218668452172026,0.077446563583513,0.316075926126156,0.131232011217928,0.19449123497951,0.136183128619101,0.529224732049028,0.102955716354842,0.083079938285809,0.105416132707386,0.113016016671952,0.175434383022989,0.076997338139655,0.051844132447276,0.095538225982291,0.216719409083471,0.241996259089095,0.144398517382481,0.341319666302994,0.29313424634546,0.405141521834042,0.21418645705406,5.05979702580817e-11,0.361289992064027,0.413435184080182,0.12009762220803,0.224093989682814,0.361289992064027,0.280436538543263,0.237291078561965,0.076842665244723,0.163290775162787,0.239425643862723,0.176001884458698,0.343368529135548,0.062790125038751,0.07889294631016
"Rungus",0.406373678813453,0.490883597030202,0.34354647899406,0.319985737756453,0.332110487305225,0.355289419192027,0.400116770142204,0.425798492905243,0.243040079661699,0.334352942395812,0.312717287720582,0.333280448754365,0.350010545679261,0.378932250916989,0.319140981255082,0.375729627674049,0.409151721961993,0.48259608366716,0.38253452250556,0.364636343716971,0.538331016552148,0.48819379386412,0.092658664582295,0.343617350526921,0.361289992064027,4.65899541168824e-11,0.378634568854508,0.360212261217541,0.364877430907511,4.65899541168824e-11,0.452130893794229,0.430752177775015,0.402004279292648,0.355198584041578,0.369896295534259,0.456461284372418,0.072197911002204,0.369962172574851,0.370512038274074
"Sabah Malay",0.403023021219761,0.51537220052844,0.38520091406415,0.372414978451262,0.282035249756998,0.307883362774768,0.470986206190835,0.485292711724578,0.44815003269564,0.380979180189505,0.351819694684755,0.376579856107036,0.383802180238924,0.4111706457436,0.37103022281952,0.446256589817068,0.394624916235771,0.538995432963946,0.390817476838729,0.408086130126257,0.44867380713501,0.487489079097864,0.414784251748581,0.394355214943413,0.413435184080182,0.378634568854508,6.66480204358777e-11,0.268683541319343,0.388470239183855,0.378634568854508,0.475067535499231,0.466329567525913,0.33273105573668,0.415187844224912,0.381351357808431,0.516868810517779,0.424234121703328,0.402192137872543,0.427929488392194
"Southern Sama",0.285238803926012,0.400537284462132,0.220951080852249,0.18764792029487,0.314058491154864,0.025079088275655,0.195684939933908,0.238379356838689,0.528491756981569,0.207648737814821,0.187093691967781,0.208427297880143,0.220806556572618,0.26751827519087,0.187004342139064,0.166179825800715,0.211248877667779,0.310564681370437,0.24345603924385,0.244332989322357,0.431514693680658,0.38175197766919,0.405243912830573,0.215531318746355,0.12009762220803,0.360212261217541,0.268683541319343,4.93880492058452e-11,0.22580239094407,0.360212261217541,0.282871172053766,0.324992018504264,0.088510985686901,0.164952172042655,0.241625148320288,0.274999075903705,0.343411494846508,0.168960880398355,0.185838228070736
"Tagabawa",0.231973729513903,0.238680981641164,0.178270205218967,0.223204899891742,0.366149486057872,0.225558831932495,0.290218149224969,0.328912819714913,0.526949653271428,0.244294885630816,0.220516721916748,0.164592770196266,0.253035580473399,0.073076162836855,0.222842706102324,0.26457433968559,0.290107953664389,0.385053442829013,0.198153121394791,0.104519111156199,0.211289033228031,0.404075928793817,0.327937577083433,0.249626511614497,0.224093989682814,0.364877430907511,0.388470239183855,0.22580239094407,3.52819995441678e-11,0.364877430907511,0.354357563061241,0.204535310338299,0.281761302387203,0.253194097569361,0.211637147193735,0.360674853186353,0.403569505697074,0.250512688747822,0.272073651757742
"Tambunan Dusun",0.406373678813453,0.490883597030202,0.34354647899406,0.319985737756453,0.332110487305225,0.355289419192027,0.400116770142204,0.425798492905243,0.243040079661699,0.334352942395812,0.312717287720582,0.333280448754365,0.350010545679261,0.378932250916989,0.319140981255082,0.375729627674049,0.409151721961993,0.48259608366716,0.38253452250556,0.364636343716971,0.538331016552148,0.48819379386412,0.092658664582295,0.343617350526921,0.361289992064027,4.65899541168824e-11,0.378634568854508,0.360212261217541,0.364877430907511,4.65899541168824e-11,0.452130893794229,0.430752177775015,0.402004279292648,0.355198584041578,0.369896295534259,0.456461284372418,0.072197911002204,0.369962172574851,0.370512038274074
"Tatana",0.386437632798492,0.325473153224982,0.355961783587875,0.274738934303785,0.372651296834888,0.280800154730803,0.15276844868431,0.378103221016368,0.575917714661942,0.326044637840368,0.322692659460054,0.346297760127855,0.257513409233606,0.381136822681918,0.274659335616881,0.317816581309608,0.285621580900777,0.328719002039765,0.20350843663215,0.357247602755025,0.503377794872095,0.48377686790935,0.487326080164674,0.349027407073387,0.280436538543263,0.452130893794229,0.475067535499231,0.282871172053766,0.354357563061241,0.452130893794229,2.74830158630834e-11,0.294971870425903,0.335308025842288,0.25793965209919,0.362141388991552,0.40686873225519,0.389326953534162,0.259000421130211,0.308042159962066
"Tausug",0.293052105607649,0.135665721880375,0.339728397119375,0.228998930521654,0.401483130581956,0.3158943139552,0.17580890453707,0.324213108769813,0.468140450816425,0.230121540425909,0.239455126160765,0.255830332329805,0.238228019616417,0.158457032191597,0.229033173696215,0.261493087755364,0.281890962605544,0.390070556194358,0.19886076872662,0.113847984111298,0.190938556591089,0.31849405061036,0.476056186856632,0.229195470375469,0.237291078561965,0.430752177775015,0.466329567525913,0.324992018504264,0.204535310338299,0.430752177775015,0.294971870425903,2.67159627753699e-11,0.296772312738934,0.330002231402759,0.269014644788178,0.354430101325566,0.479285010292901,0.277864692741679,0.255985026003766
"Tboli",0.245924671949316,0.379164113908109,0.277212488604345,0.148471021909887,0.355813570695296,0.096195358063846,0.252779223185191,0.202907048657684,0.507468216733723,0.171883339634033,0.154905379131382,0.174477119533412,0.180890577267728,0.240350776038158,0.148111908542153,0.124598976988672,0.163452546656827,0.276959121405825,0.297764287928565,0.210776630165845,0.389451515121503,0.346033777525717,0.445027579197107,0.271539612241129,0.076842665244723,0.402004279292648,0.33273105573668,0.088510985686901,0.281761302387203,0.402004279292648,0.335308025842288,0.296772312738934,4.08899580861544e-11,0.224985392027009,0.297380356596703,0.239311596477372,0.387195728429462,0.136237318291875,0.149798069587503
"Timugon Murut",0.286176947993498,0.410218758660655,0.162020223550068,0.132731081574829,0.244709596939107,0.154789529277464,0.210663231856856,0.253925901636937,0.517793325291695,0.212307963643697,0.170847787001,0.190830013217288,0.228339267570213,0.249692384352938,0.132354432843448,0.109419910750885,0.14832655636232,0.32867400814486,0.264628822681162,0.249032220771126,0.427262201231507,0.386127186009129,0.403455968442837,0.224068720283262,0.163290775162787,0.355198584041578,0.415187844224912,0.164952172042655,0.253194097569361,0.355198584041578,0.25793965209919,0.330002231402759,0.224985392027009,4.28540536390187e-11,0.206740321311046,0.289122351723699,0.294977548864591,0.13774836715901,0.093408335199379
"Tuwali Ifugao",0.232270827086268,0.309044536413908,0.092185171626419,0.243045391763625,0.285900518341078,0.248457573237083,0.278620505212359,0.338892535434376,0.411401333434577,0.241251377592118,0.22141188624307,0.163459088948676,0.251537468586974,0.214809275181205,0.242814013521819,0.243533964115309,0.301190636608503,0.404255840950761,0.202063410145384,0.277144634376811,0.274884728334691,0.32695619111194,0.267901039438302,0.161477104800238,0.239425643862723,0.369896295534259,0.381351357808431,0.241625148320288,0.211637147193735,0.369896295534259,0.362141388991552,0.269014644788178,0.297380356596703,0.206740321311046,2.93080004709623e-11,0.363521098374197,0.406703924931673,0.277257536755085,0.212080460403546
"Western Subanon",0.308174067846394,0.218799954955172,0.340791283686743,0.223048848618665,0.40297704480829,0.265679878541234,0.314608162798502,0.26840180219267,0.58136986962074,0.240437945173867,0.214123667982003,0.232583210174361,0.252785698145226,0.289771021794343,0.222890725931442,0.201496048966055,0.237202187780492,0.067835715197949,0.37088260748984,0.275633837644271,0.43953215805946,0.143696600424835,0.494644933397752,0.336291632791918,0.176001884458698,0.456461284372418,0.516868810517779,0.274999075903705,0.360674853186353,0.456461284372418,0.40686873225519,0.354430101325566,0.239311596477372,0.289122351723699,0.363521098374197,3.43840511618509e-11,0.459032237012951,0.21933804679679,0.224762997531977
"West Coast Bajau",0.46136535985951,0.532792654913993,0.399739105988754,0.315473118266768,0.331907697237886,0.357761749266518,0.403212861275044,0.428871834422924,0.298577277225724,0.392745185941583,0.370584326429308,0.391030513882128,0.408406878863003,0.430480725031059,0.314704216557854,0.37858864897597,0.342368284979405,0.485103134930968,0.420778920272156,0.419603513435393,0.585119584774703,0.536321212036138,0.156084225894945,0.402323671342156,0.343368529135548,0.072197911002204,0.424234121703328,0.343411494846508,0.403569505697074,0.072197911002204,0.389326953534162,0.479285010292901,0.387195728429462,0.294977548864591,0.406703924931673,0.459032237012951,4.38240554956337e-11,0.294444530027781,0.37510814462924
"Yakan",0.222912801158791,0.357889325623834,0.253114658450175,0.062815347287037,0.299603212211963,0.167668531223683,0.237682239517803,0.154453674659683,0.524267402699934,0.149243813375124,0.078580431872207,0.143778935109312,0.156332134536219,0.213389238040862,0.062676982658667,0.111125054215473,0.071359517821362,0.25858846655307,0.273919211093977,0.188878375350304,0.366716877661572,0.325499151951448,0.409451999486624,0.245943139026694,0.062790125038751,0.369962172574851,0.402192137872543,0.168960880398355,0.250512688747822,0.369962172574851,0.259000421130211,0.277864692741679,0.136237318291875,0.13774836715901,0.277257536755085,0.21933804679679,0.294444530027781,3.90170118436117e-11,0.126795989272858
"Yogad",0.197967071415465,0.344806281387366,0.183591796261666,0.120300172082548,0.231239402379943,0.17587911718877,0.211792102692298,0.18800487463948,0.513909288559296,0.122671410735298,0.101496710527001,0.121024317861792,0.130096746072943,0.173718343267664,0.120012115508691,0.0318354510305739,0.133212304015559,0.263271390888985,0.266363105727891,0.164122312064641,0.34585068539232,0.322847282049187,0.417840004083401,0.243599213149626,0.07889294631016,0.370512038274074,0.427929488392194,0.185838228070736,0.272073651757742,0.370512038274074,0.308042159962066,0.255985026003766,0.149798069587503,0.093408335199379,0.212080460403546,0.224762997531977,0.37510814462924,0.126795989272858,4.03289623918113e-11
