tip,ruhlen_language,iso6393,glottocode,inventory_size,source,latitude,longitude,Language_type,n_tips_for_language,austronesian_score,span_score,eng_score,jap_score,unrelated_score,austronesian_score_present,span_score_present,eng_score_present,jap_score_present,unrelated_score_present,austronesian_score_absent,span_score_absent,eng_score_absent,jap_score_absent,unrelated_score_absent,span_score_D1,austronesian_score_span_D1,eng_score_D1,austronesian_score_eng_D1,jap_score_D1,austronesian_score_jap_D1,unrelated_score_D1,austronesian_score_unrelated_D1,n_present,n_absent,n_logp_floored
KakidugenIlongot,Ilongot,ilk,ilon1239,19,ruhlen,16.37807,121.49391,Philippine Language,1,0.8462906114430195,0.8460639068226808,0.8468276534016285,0.8449680644015255,0.8453798557136509,0.761591537678983,0.7614452097136377,0.764046753300705,0.7635556512636816,0.7639697637084248,0.9404093448823052,0.9400862009457819,0.9385774777102859,0.9350608939595186,0.9354651641935816,0.8606486115752824,0.8618222702493332,0.9150520200831388,0.9162758035000932,0.8529873495924202,0.8673123842732512,0.8441021469749702,0.845119299552985,19,65,0
Kalagan,Kalagan,kqe,kala1388,22,ruhlen,7.30352,125.92716,Philippine Language,1,0.6746834755803113,0.6758806065724122,0.674293505212851,0.6890025820449032,0.6823696653743404,0.5316624642122945,0.5336286471227504,0.5318039385224385,0.5547051954520634,0.5448909290479254,0.856178163518737,0.8560533562127354,0.8549611957284313,0.8558141549001741,0.854534981958078,0.6396612202081501,0.6384004777414393,0.8092801119770588,0.8108685372759419,0.46567984929922573,0.45314509848257556,0.6797004447601563,0.6720771445841123,22,62,0
KalingaGuinaangLubuagan_D,Central Kalinga,knb,lubu1243,18,ruhlen,17.38069,121.03338,Philippine Language,1,0.9375790221186663,0.9382812602245691,0.936612986323633,0.9415470892896546,0.9401019937875258,0.9365410208552576,0.9378835993845459,0.9371116226237999,0.9454103487366565,0.9436906715032064,0.938618173835284,0.9386790896720227,0.9361146153474189,0.9376996163988023,0.9365269631366471,0.8918400640541384,0.8908831908078305,0.9343222117319647,0.9382707224604142,0.8657223064657317,0.8635871741611595,0.938767604167083,0.9362979353685537,18,66,0
KallahanKeleyqiq,North Kallahan,ify,kele1259,21,ruhlen,16.70893,121.02642,Philippine Language,2,0.7271844670618413,0.7271183103564478,0.7311917158650527,0.7327440043717581,0.7315395205946387,0.5928140431431335,0.5925935898573806,0.5994769015947417,0.6018128960641757,0.6004328123795172,0.8920120149858484,0.8921814989305871,0.8918464146448603,0.8921606357293882,0.8912738597196783,0.7342936559590117,0.7339966342185463,0.7671578739719853,0.7614412077247242,0.6854142817084655,0.6773180644434884,0.7294601433927193,0.7251324765020437,21,63,0
KankanayNorthern,North Kankanay,xnn,nort2877,19,ruhlen,17.12722,120.80177,Philippine Language,1,0.7910287682770762,0.7911509430295666,0.7906677854570481,0.7933276917582186,0.7935150379389792,0.728396036395963,0.728294595045645,0.7281893137686839,0.7285496624064879,0.7303654911135898,0.8590471130759938,0.8594321843310451,0.8585068953073638,0.8638653738875417,0.862124680172452,0.6790955643975233,0.678057258758608,0.9111435477941582,0.9123136969422674,0.7673413600528893,0.7518907929907789,0.7907186874837122,0.7881729842684767,19,65,0
Kapampangan,Kapampangan,pam,pamp1243,19,ruhlen,15.24905,120.54845,Philippine Language,1,0.8597543181574612,0.8595349877633164,0.8587841888521213,0.8616468410396957,0.8594744447930877,0.8215149606320714,0.8222782883222746,0.8224729013186993,0.8344327501626647,0.8294343284768418,0.8997736170521833,0.8984797551893129,0.896698580390819,0.8897484890531393,0.8906025418659906,0.7934541164152055,0.7976662663423897,0.8834004914310841,0.8878323029872452,0.7138607212303666,0.7397589235676828,0.8573338887946729,0.857825660856171,19,65,0
KoronadalBlaan,Cotabato Bilaan,bpr,koro1310,22,ruhlen,6.21229,125.01141,Philippine Language,1,0.872478020732524,0.8731382555277655,0.8720055517878539,0.8774464823791214,0.8758341218694841,0.7885108141393428,0.7899300976762073,0.7883977729449344,0.7990369390425403,0.7962136391269345,0.9653867556556084,0.9651112364357148,0.964479744163292,0.9635503589634472,0.9634165647702494,0.8892754701132736,0.8893648070304236,0.9289020989550882,0.9305935027117122,0.8886056543163401,0.886522917817034,0.8750840704375105,0.8717761210209948,22,62,0
Mamanwa,Mamanwa,mmn,mama1275,21,ruhlen,9.43926,125.53517,Philippine Language,1,0.8057278381184355,0.8064566926984073,0.8053439968181223,0.8121662028847664,0.809266038169783,0.7288990500047938,0.7304337404682868,0.7291446046934167,0.7385858871023946,0.735217945315648,0.8906546786070555,0.8903920522361063,0.8895066205470938,0.8930768277959436,0.8907719468869145,0.7135001240418131,0.713343842939353,0.8815985732835893,0.8834997698750652,0.7966173206600992,0.7801524066937457,0.8069905398110603,0.8034596439652637,21,63,0
ManoboDibabawon,Dibabawon,mbd,diba1242,20,ruhlen,7.85784,125.99118,Philippine Language,1,0.9219115705245448,0.9217470008374917,0.9220384967207658,0.9213997175138658,0.921465441592671,0.869738205760234,0.8695667186693606,0.869795508251024,0.8699164318698833,0.8694239923630367,0.9772146816571325,0.9770584767239293,0.9774193834877034,0.9759298805400844,0.9766219560398635,0.9109007412752333,0.9115957352285321,0.9729114150473682,0.9725034424914392,0.9774745995204911,0.9819139943650564,0.9209467316791203,0.9214063563790676,20,64,0
ManoboIlianenKibudtungan_D,Ilianen,mbi,ilia1236,21,ruhlen,7.35339,124.73172,Philippine Language,1,0.8106350576242354,0.8104637441264735,0.8103369374487888,0.8100388800092008,0.8101147598487831,0.6812801855642764,0.681145871468501,0.6810135183162593,0.6815432841915041,0.6813255938977426,0.9645505778289652,0.96433305706952,0.9642186748618095,0.9627605499846548,0.9632485994990388,0.9142340846075002,0.9151647529219337,0.9356279541195295,0.9364814085927717,0.969258476127845,0.9752980620913553,0.8093786900638513,0.80992586463359,21,63,0
