"phoneme","ruhlen_ipa","ipa","class","modification_type","global_n_ruhlen","global_n_phoible","IDF_ruhlen","IDF_phoible","idf_shift","variance_shift_dir","in_ruhlen","in_phoible"
"phoneme_258","ɡǂˣ","ɡǂˣ","click",NA,2,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_260","n!ʱ","n!ʱ","click",NA,2,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_261","ɡǁn","ɡǁn","click",NA,13,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_262","ɡ!n","ɡ!n","click",NA,8,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_263","+ˣ","+ˣ","click",NA,0,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_264","n!ˣ","n!ˣ","click",NA,1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_269","ɡ/","ɡ/","click",NA,27,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_271","nǂ","nǂ","click",NA,17,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_280","ǁʱ","ǁʱ","click",NA,2,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_665","ʈʰ","ṭʰ","consonant","aspirated",75,71,0.877220139853001,1,-0.122779860146999,"-",TRUE,TRUE
"phoneme_588","pʰ","pʰ","consonant","aspirated",283,334,0.508880559412004,0.634752124950132,-0.125871565538128,"-",TRUE,TRUE
"phoneme_631","kʰ","kʰ","consonant","aspirated",310,350,0.508880559412004,0.66993372762877,-0.161053168216766,"-",TRUE,TRUE
"phoneme_676","cʰ","cʰ","consonant","aspirated",34,55,0.714913993238342,0.89317184481387,-0.178257851575528,"-",TRUE,TRUE
"phoneme_560","tʰ","tʰ","consonant","aspirated",322,248,0.508880559412004,0.817376062475066,-0.308495503063062,"-",TRUE,TRUE
"phoneme_004","ᶡtʃʰ","ᶡčʰ","consonant","aspirated",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_031","tʃʰ","čʰ","consonant","aspirated",159,NA,0.754440279706002,NA,NA,NA,TRUE,FALSE
