"phoneme","ipa","class","global_n","IDF","ph_prevalence","ph_variance","austronesian_prevalence","austronesian_variance","unrelated_prevalence","unrelated_variance","global_prevalence","global_variance","span_has","jap_has","eng_has","unrelated_not_baseline","n_baselines_shared_unrelated","null_skew_leverage","drives_unrelated_tail","flag"
"phoneme_115","pˢ","consonant",2,5.65248918026865,0,0,0,0,0,0,0.00112866817155756,0.00112739427971607,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,"neither"
"phoneme_116","tᶲʰ","consonant",1,5.65248918026865,0,0,0,0,0,0,0.000564334085778781,0.000564015612818409,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,"neither"
"phoneme_117","pč","consonant",0,5.65248918026865,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,"neither"
"phoneme_118","ɔ̤","vowel",3,5.65248918026865,0,0,0,0,0,0,0.00169300225733634,0.00169013600069299,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,"neither"
"phoneme_119","ɯ","vowel",113,4.95934199970871,0,0,0.00352112676056338,0.00350872842689942,0.0805687203791469,0.0740774016756137,0.0507900677200903,0.0482104367410789,FALSE,TRUE,FALSE,FALSE,1,0,FALSE,"baseline driver"
"phoneme_120","ʌ","vowel",14,4.95934199970871,0,0,0.00352112676056338,0.00350872842689942,0,0,0.00564334085778781,0.00561149356175063,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,"neither"
"phoneme_122","ɤ","vowel",44,5.65248918026865,0,0,0,0,0.023696682464455,0.0231351497046338,0.018058690744921,0.0177325744335003,FALSE,FALSE,FALSE,TRUE,0,0,FALSE,"neither"
"phoneme_124","o̤","vowel",2,5.65248918026865,0,0,0,0,0,0,0.00112866817155756,0.00112739427971607,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,"neither"
"phoneme_125","ɒ","vowel",40,3.45526460293243,0,0,0.028169014084507,0.0273755207300139,0.023696682464455,0.0231351497046338,0.0186230248306998,0.0182762077768549,FALSE,FALSE,FALSE,TRUE,0,0,FALSE,"neither"
"phoneme_126","u̱","vowel",2,5.65248918026865,0,0,0,0,0,0,0.00112866817155756,0.00112739427971607,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,"neither"
"phoneme_127","ṳ","vowel",4,5.65248918026865,0,0,0,0,0,0,0.00225733634311512,0.00225224077574917,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,"neither"
"phoneme_129","ɯ̌","vowel",1,5.65248918026865,0,0,0,0,0,0,0.000564334085778781,0.000564015612818409,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,"neither"
"phoneme_130","ɑ","vowel",113,4.04305126783455,0,0,0.0140845070422535,0.0138861337036302,0.0805687203791469,0.0740774016756137,0.0519187358916479,0.0492231807550612,FALSE,FALSE,TRUE,FALSE,1,0,FALSE,"baseline driver"
"phoneme_131","o˂","vowel",1,5.65248918026865,0,0,0,0,0,0,0.000564334085778781,0.000564015612818409,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,"neither"
"phoneme_132","ʊ̤","vowel",2,5.65248918026865,0,0,0,0,0,0,0.00112866817155756,0.00112739427971607,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,"neither"
"phoneme_133","o̰","vowel",1,5.65248918026865,0,0,0,0,0,0,0.000564334085778781,0.000564015612818409,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,"neither"
"phoneme_135","ɨ̤","vowel",2,5.65248918026865,0,0,0,0,0,0,0.00112866817155756,0.00112739427971607,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,"neither"
"phoneme_137","ʉ","vowel",31,5.65248918026865,0,0,0,0,0.004739336492891,0.00471687518249815,0.0152370203160271,0.0150048535279161,FALSE,FALSE,FALSE,TRUE,0,0,FALSE,"neither"
"phoneme_138","a̤","vowel",4,5.65248918026865,0,0,0,0,0,0,0.00225733634311512,0.00225224077574917,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,"neither"
"phoneme_140","ɨ̅","vowel",1,5.65248918026865,0,0,0,0,0,0,0.000564334085778781,0.000564015612818409,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,"neither"
"phoneme_142","aː","vowel",1,5.65248918026865,0,0,0,0,0,0,0.000564334085778781,0.000564015612818409,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,"neither"
"phoneme_143","ɵ","vowel",22,4.95934199970871,0,0,0.00352112676056338,0.00350872842689942,0.014218009478673,0.0140158576851373,0.0118510158013544,0.0117105692258304,FALSE,FALSE,FALSE,TRUE,0,0,FALSE,"neither"
"phoneme_144","ə̤","vowel",1,5.65248918026865,0,0,0,0,0,0,0.000564334085778781,0.000564015612818409,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,"neither"
"phoneme_146","a̰","vowel",1,5.65248918026865,0,0,0,0,0,0,0.000564334085778781,0.000564015612818409,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,"neither"
"phoneme_147","ɡ/n","click",13,5.65248918026865,0,0,0,0,0.00947867298578199,0.0093888277442106,0.00507900677200902,0.00505321046221891,FALSE,FALSE,FALSE,TRUE,0,0,FALSE,"neither"
"phoneme_148","ˀnʘ","click",1,5.65248918026865,0,0,0,0,0,0,0.000564334085778781,0.000564015612818409,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,"neither"
"phoneme_149","qʘʰ","click",1,5.65248918026865,0,0,0,0,0,0,0.000564334085778781,0.000564015612818409,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,"neither"
"phoneme_150","G!ʰ","click",1,5.65248918026865,0,0,0,0,0,0,0.000564334085778781,0.000564015612818409,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,"neither"
"phoneme_151","Gʘʰ","click",1,5.65248918026865,0,0,0,0,0,0,0.000564334085778781,0.000564015612818409,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,"neither"
"phoneme_152","nǁ","click",29,5.65248918026865,0,0,0,0,0.033175355450237,0.0320747512409874,0.0135440180586907,0.0133605776335166,FALSE,FALSE,FALSE,TRUE,0,0,FALSE,"neither"
"phoneme_153","nǂˀʰ","click",1,5.65248918026865,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,"neither"
"phoneme_154","ǁˣ","click",24,5.65248918026865,0,0,0,0,0.018957345971564,0.0185979650052784,0.00959367945823927,0.00950164077269183,FALSE,FALSE,FALSE,TRUE,0,0,FALSE,"neither"
"phoneme_155","ɡ/ˣ","click",5,5.65248918026865,0,0,0,0,0,0,0.00112866817155756,0.00112739427971607,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,"neither"
"phoneme_156","/kˣˀ","click",1,5.65248918026865,0,0,0,0,0,0,0.000564334085778781,0.000564015612818409,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,"neither"
"phoneme_157","ǁkˣˀ","click",1,5.65248918026865,0,0,0,0,0,0,0.000564334085778781,0.000564015612818409,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,"neither"
"phoneme_158","Gʘ","click",1,5.65248918026865,0,0,0,0,0,0,0.000564334085778781,0.000564015612818409,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,"neither"
"phoneme_159","nǁˣ","click",3,5.65248918026865,0,0,0,0,0.004739336492891,0.00471687518249815,0.00112866817155756,0.00112739427971607,FALSE,FALSE,FALSE,TRUE,0,0,FALSE,"neither"
"phoneme_160","ɡ/kˣˀ","click",3,5.65248918026865,0,0,0,0,0,0,0.000564334085778781,0.000564015612818409,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,"neither"
"phoneme_161","qǂˀ","click",1,5.65248918026865,0,0,0,0,0,0,0.000564334085778781,0.000564015612818409,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,"neither"
"phoneme_162","n!ˀʰ","click",1,5.65248918026865,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,"neither"
"phoneme_163","q!ʰ","click",1,5.65248918026865,0,0,0,0,0,0,0.000564334085778781,0.000564015612818409,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,"neither"
"phoneme_164","!","click",29,5.65248918026865,0,0,0,0,0.033175355450237,0.0320747512409874,0.0135440180586907,0.0133605776335166,FALSE,FALSE,FALSE,TRUE,0,0,FALSE,"neither"
"phoneme_165","ǁˣˀ","click",15,5.65248918026865,0,0,0,0,0.018957345971564,0.0185979650052784,0.00620767494356659,0.0061691397153616,FALSE,FALSE,FALSE,TRUE,0,0,FALSE,"neither"
"phoneme_166","/ʰ","click",29,5.65248918026865,0,0,0,0,0.028436018957346,0.0276274117832034,0.012979683972912,0.0128112117768753,FALSE,FALSE,FALSE,TRUE,0,0,FALSE,"neither"
"phoneme_167","nʘ","click",4,5.65248918026865,0,0,0,0,0.004739336492891,0.00471687518249815,0.00225733634311512,0.00225224077574917,FALSE,FALSE,FALSE,TRUE,0,0,FALSE,"neither"
"phoneme_168","ǂʰ","click",19,5.65248918026865,0,0,0,0,0.018957345971564,0.0185979650052784,0.00790067720090293,0.00783825650067006,FALSE,FALSE,FALSE,TRUE,0,0,FALSE,"neither"
"phoneme_169","!ʱ","click",2,5.65248918026865,0,0,0,0,0,0,0.000564334085778781,0.000564015612818409,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,"neither"
"phoneme_170","ᵑ!","click",1,5.65248918026865,0,0,0,0,0,0,0.000564334085778781,0.000564015612818409,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,"neither"
"phoneme_171","/ˀ","click",28,5.65248918026865,0,0,0,0,0.023696682464455,0.0231351497046338,0.0118510158013544,0.0117105692258304,FALSE,FALSE,FALSE,TRUE,0,0,FALSE,"neither"
"phoneme_172","n/ˣ","click",3,5.65248918026865,0,0,0,0,0.004739336492891,0.00471687518249815,0.00112866817155756,0.00112739427971607,FALSE,FALSE,FALSE,TRUE,0,0,FALSE,"neither"
"phoneme_173","qǁˀ","click",1,5.65248918026865,0,0,0,0,0,0,0.000564334085778781,0.000564015612818409,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,"neither"
"phoneme_174","n!","click",24,5.65248918026865,0,0,0,0,0.028436018957346,0.0276274117832034,0.0112866817155756,0.0111592925314269,FALSE,FALSE,FALSE,TRUE,0,0,FALSE,"neither"
"phoneme_175","+","click",0,5.65248918026865,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,"neither"
"phoneme_176","n!n","click",2,5.65248918026865,0,0,0,0,0.004739336492891,0.00471687518249815,0.00112866817155756,0.00112739427971607,FALSE,FALSE,FALSE,TRUE,0,0,FALSE,"neither"
"phoneme_177","ǂ","click",20,5.65248918026865,0,0,0,0,0.018957345971564,0.0185979650052784,0.00846501128668171,0.00839335487059806,FALSE,FALSE,FALSE,TRUE,0,0,FALSE,"neither"
"phoneme_178","/","click",34,5.65248918026865,0,0,0,0,0.033175355450237,0.0320747512409874,0.0152370203160271,0.0150048535279161,FALSE,FALSE,FALSE,TRUE,0,0,FALSE,"neither"
"phoneme_179","nǂʱ","click",2,5.65248918026865,0,0,0,0,0,0,0.000564334085778781,0.000564015612818409,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,"neither"
"phoneme_180","ǂkˣˀ","click",1,5.65248918026865,0,0,0,0,0,0,0.000564334085778781,0.000564015612818409,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,"neither"
"phoneme_181","ᵑ/","click",2,5.65248918026865,0,0,0,0,0,0,0.00112866817155756,0.00112739427971607,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,"neither"
"phoneme_182","n+","click",0,5.65248918026865,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,"neither"
