phoneme,n_languages,n_total,IDF_phoible,global_n_phoible
m̥ʲ,0,88,NA,2
ɑi,0,88,NA,5
iɛ̃,0,88,NA,2
iɑu,0,88,NA,1
ɛi,0,88,NA,7
ɑu,0,88,NA,4
iɑ,0,88,NA,5
tɕʰ,0,88,NA,34
uɛ,0,88,NA,4
ʑ,0,88,NA,49
iɛ,0,88,NA,11
ɹ̪̩,0,88,NA,4
ɲ̊,0,88,NA,8
ɪː,0,88,NA,70
ɲː,0,88,NA,30
ɨ̃,0,88,NA,93
ɨː,0,88,NA,67
ʔʲ,0,88,NA,13
↓,0,88,NA,5
aɛ,0,88,NA,4
ɔu,0,88,NA,4
ɳ,0,88,NA,264
ȴ,0,88,NA,148
ȵ,0,88,NA,264
ȶ,0,88,NA,213
ʔʷʼ,0,88,NA,1
ʆʷʼ,0,88,NA,1
pʷʼ,0,88,NA,1
ʆʼ,0,88,NA,1
ʔʼ,0,88,NA,1
tɕʼ,0,88,NA,2
qʷ,0,88,NA,23
ɬ,0,88,NA,102
t̠ʆʷ,0,88,NA,1
ɬʼ,0,88,NA,4
t̪θʼ,0,88,NA,4
a̟,0,88,NA,22
pfʼ,0,88,NA,1
cʼ,0,88,NA,18
ʕ,0,88,NA,37
oɘ,0,88,NA,1
œu,0,88,NA,1
œi,0,88,NA,2
ɪ̝,0,88,NA,1
øɘ,0,88,NA,1
ɘi,0,88,NA,1
eɘ,0,88,NA,1
yː,0,88,NA,38
ɒː,0,88,NA,7
bv,0,88,NA,16
pf,0,88,NA,30
ȶ͈,0,88,NA,50
l̺,0,88,NA,83
t̪͈,0,88,NA,35
p͉,0,88,NA,55
r̺,0,88,NA,84
n̺,0,88,NA,86
t̪͉,0,88,NA,34
ɹ̺,0,88,NA,72
t̺͈,0,88,NA,18
ȶ͉,0,88,NA,48
t̺͉,0,88,NA,18
k͉,0,88,NA,54
ɟʝʷ,0,88,NA,3
ɟʝ,0,88,NA,73
ɲʷ,0,88,NA,16
cçʷ,0,88,NA,2
jʷ,0,88,NA,19
ʌː,0,88,NA,16
ʌ̤,0,88,NA,4
ɛ̤ː,0,88,NA,6
ɤ̤,0,88,NA,4
ɤː,0,88,NA,10
ɯ̤a,0,88,NA,1
a̤,0,88,NA,16
ṳa,0,88,NA,1
ʌ̤ː,0,88,NA,2
ua,0,88,NA,33
ṳː,0,88,NA,6
ɑ̤ː,0,88,NA,1
ɯ̤ː,0,88,NA,1
o̤ː,0,88,NA,4
ɔ̤ː,0,88,NA,6
e̤ː,0,88,NA,4
a̤ː,0,88,NA,5
ɯ̤,0,88,NA,7
ɤ̤ː,0,88,NA,1
i̤a,0,88,NA,1
ɯa,0,88,NA,9
i̤ː,0,88,NA,6
tɬʼ,0,88,NA,18
dɮ,0,88,NA,3
tɬʰ,0,88,NA,8
qʰ,0,88,NA,46
ɢ,0,88,NA,28
β̞,0,88,NA,18
t̪s̪|ts,0,88,NA,22
ⱱ,0,88,NA,20
ɾʲ,0,88,NA,20
N,0,88,NA,9
cçʷʰ,0,88,NA,1
øː,0,88,NA,29
çʷ,0,88,NA,2
cçʰ,0,88,NA,36
˩,0,88,NA,37
ŋmɡb,0,88,NA,75
ɬ̪|ɬ,0,88,NA,15
hː,0,88,NA,10
wː,0,88,NA,29
ʔː,0,88,NA,14
d̠ʒː,0,88,NA,20
t̠ʃʼː,0,88,NA,14
kʼː,0,88,NA,14
ʒː,0,88,NA,12
pʼː,0,88,NA,9
tʼː,0,88,NA,13
ʃː,0,88,NA,31
zː,0,88,NA,19
jː,0,88,NA,38
ᴅ,0,88,NA,4
n̠,0,88,NA,23
t̠,0,88,NA,8
ɳɖ,0,88,NA,8
ɯ̞,0,88,NA,5
n̠d̠,0,88,NA,1
l̠,0,88,NA,4
j̥,0,88,NA,15
qˤ,0,88,NA,2
o̞̜ː,0,88,NA,1
ə̞̆,0,88,NA,1
l̪ʲ,0,88,NA,3
n̪ʲ,0,88,NA,4
ʡˤ,0,88,NA,1
ɳʷ,0,88,NA,6
ʈʷ,0,88,NA,6
ȴʷ,0,88,NA,6
l̪ʷ,0,88,NA,7
ɻʷ,0,88,NA,9
ȵʷ,0,88,NA,6
rʷ,0,88,NA,16
tʷ,0,88,NA,38
ȶʷ,0,88,NA,6
t̪ʷ,0,88,NA,7
lʷ,0,88,NA,23
ɭʷ,0,88,NA,7
n̪ʷ,0,88,NA,6
nʷ,0,88,NA,26
ɺ̺̠,0,88,NA,4
õː,0,88,NA,37
ẽː,0,88,NA,28
ãː,0,88,NA,57
ĩː,0,88,NA,63
R,0,88,NA,7
bʲ,0,88,NA,34
d̠ʒʷ,0,88,NA,14
t̠ʃʲ,0,88,NA,8
sʷ,0,88,NA,28
sʲ,0,88,NA,30
ɲɟ,0,88,NA,36
ɲcʰ,0,88,NA,2
mpʰ,0,88,NA,9
ŋkʰ,0,88,NA,7
ɳɖʐ,0,88,NA,12
n̠t̠ʃʰ,0,88,NA,5
ntʰ,0,88,NA,6
ntsʰ,0,88,NA,4
sʼː,0,88,NA,3
sʼ,0,88,NA,14
hʷ,0,88,NA,42
ɵ,0,88,NA,24
ʈ͈,0,88,NA,33
ʈ͉,0,88,NA,34
t͉,0,88,NA,35
ɡʷː,0,88,NA,1
kʷʼː,0,88,NA,2
kʷː,0,88,NA,6
xʷː,0,88,NA,1
h̃,0,88,NA,4
tɬʼː,0,88,NA,3
ɢʷ,0,88,NA,7
qʷʼː,0,88,NA,1
ʔ̃,0,88,NA,1
xː,0,88,NA,13
tsʼː,0,88,NA,6
tsː,0,88,NA,8
qʷː,0,88,NA,1
ɬː,0,88,NA,4
tɬː,0,88,NA,2
χː,0,88,NA,7
qː,0,88,NA,9
qʼː,0,88,NA,3
χʷː,0,88,NA,2
ɤ̃,0,88,NA,6
ɒ̃,0,88,NA,4
w̤,0,88,NA,5
ɲ̤,0,88,NA,5
ɱ,0,88,NA,11
l̤,0,88,NA,16
j̤,0,88,NA,1
˨˩,0,88,NA,1
r̤,0,88,NA,6
˧˥,0,88,NA,7
m̤,0,88,NA,20
n̤,0,88,NA,9
ə̆,0,88,NA,9
t̺,0,88,NA,64
ʊɔ,0,88,NA,1
ɪɛ,0,88,NA,1
˩˥,0,88,NA,41
uo,0,88,NA,5
ie,0,88,NA,21
nz,0,88,NA,39
ɱv,0,88,NA,39
˥˩,0,88,NA,48
lʲ,0,88,NA,45
ũː,0,88,NA,65
ɘ,0,88,NA,31
k̙,0,88,NA,2
ɨ̃ː,0,88,NA,5
hʲ,0,88,NA,23
s̺,0,88,NA,12
u̯,0,88,NA,7
ɟʝ̞,0,88,NA,1
ɾ̞,0,88,NA,1
ʎ,0,88,NA,74
i̯,0,88,NA,8
ɫ,0,88,NA,18
d̪ː,0,88,NA,9
ɗː,0,88,NA,8
i̞ː,0,88,NA,3
t̪ʼ,0,88,NA,27
t̪ʼː,0,88,NA,1
u̞,0,88,NA,9
t̠ʃʰː,0,88,NA,5
u̞ː,0,88,NA,4
kʰː,0,88,NA,4
ɾː,0,88,NA,2
ɓ̥ː,0,88,NA,1
ɛ̝ː,0,88,NA,2
ɔ̝ː,0,88,NA,2
ɛ̝,0,88,NA,3
qχʷʼ,0,88,NA,1
qχˤʼ,0,88,NA,1
s̪ː|sː,0,88,NA,2
t̪s̪ʼ|tsʼ,0,88,NA,10
t̪ɬ̪ʼ|tɬʼ,0,88,NA,8
iˤ,0,88,NA,4
qχ,0,88,NA,4
qχʷ,0,88,NA,2
qχʷˤ,0,88,NA,1
t̪s̪ʼː|tsʼː,0,88,NA,2
qχˤ,0,88,NA,1
t̪ɬ̪ʰ|tɬʰ,0,88,NA,2
t̪ː|tː,0,88,NA,1
t̪ʼ|tʼ,0,88,NA,13
qχʼ,0,88,NA,4
ʁˤ,0,88,NA,3
qχʷˤʼ,0,88,NA,1
uˤ,0,88,NA,5
χʷˤː,0,88,NA,1
ɬ̪ʷː|ɬʷː,0,88,NA,1
ɬ̪ː|ɬː,0,88,NA,2
qχˤː,0,88,NA,1
ʁʷˤ,0,88,NA,2
o̞ˤ,0,88,NA,3
aˤ,0,88,NA,5
qχʼː,0,88,NA,3
e̞ˤ,0,88,NA,4
χˤː,0,88,NA,1
uɨ,0,88,NA,1
ue,0,88,NA,10
iɨ,0,88,NA,1
ndɾ,0,88,NA,2
ˀw,0,88,NA,6
ˀj,0,88,NA,7
tɾ,0,88,NA,2
dɾ,0,88,NA,2
ɡ̤,0,88,NA,19
b̤,0,88,NA,42
d̤,0,88,NA,11
˨˧,0,88,NA,24
˧˨,0,88,NA,22
œ̃,0,88,NA,2
˥˨,0,88,NA,1
˥˧,0,88,NA,2
ɐː,0,88,NA,7
t̪ɬ̪ː|tɬː,0,88,NA,1
ʕ̝,0,88,NA,2
kxʼː,0,88,NA,2
kxː,0,88,NA,1
qχː,0,88,NA,1
t̪s̪ː|tsː,0,88,NA,1
t̪ɬ̪ʼː|tɬʼː,0,88,NA,1
ɦʷ,0,88,NA,2
tr,0,88,NA,6
wˀ,0,88,NA,5
d̪̤,0,88,NA,30
ɟ̤ʝ,0,88,NA,20
ɡʱ,0,88,NA,31
ɽ̤,0,88,NA,11
ɖ̤,0,88,NA,29
ŋɡʲ,0,88,NA,8
a̰,0,88,NA,19
ḭ,0,88,NA,18
ɛ̰,0,88,NA,5
o̰,0,88,NA,13
ḛ,0,88,NA,14
ɯ̰,0,88,NA,2
ɹ̪̰̩,0,88,NA,1
ṵ,0,88,NA,15
ʕʷ,0,88,NA,2
ʄ,0,88,NA,30
ɗʲ,0,88,NA,3
ə̃ː,0,88,NA,15
ɐ̃,0,88,NA,5
ɜ,0,88,NA,18
ɜː,0,88,NA,3
↓˦˨,0,88,NA,1
˨˧˨,0,88,NA,1
˦↓˦,0,88,NA,3
ndʑ,0,88,NA,15
ɕʰ,0,88,NA,4
sʰ,0,88,NA,11
uɔ,0,88,NA,6
io,0,88,NA,8
ʃʰ,0,88,NA,3
yɛ,0,88,NA,1
iɔ,0,88,NA,4
iø,0,88,NA,1
br,0,88,NA,1
ð̞,0,88,NA,4
eːi̯,0,88,NA,1
æi̯,0,88,NA,3
ɑːi̯,0,88,NA,1
oːu̯,0,88,NA,1
ɔi̯,0,88,NA,2
ŋʱ,0,88,NA,1
ɱf,0,88,NA,11
nθ,0,88,NA,1
aˑ,0,88,NA,6
iˑ,0,88,NA,7
uˑ,0,88,NA,5
oˑ,0,88,NA,6
eˑ,0,88,NA,5
t̠ʃʷ,0,88,NA,19
fʷ,0,88,NA,31
ɲc,0,88,NA,4
mpʲ,0,88,NA,2
zʲ,0,88,NA,18
