"language_id","language","latitude","longitude","glottocode","author","number_of_entries","source_url","number_of_loans","loans_norm"
"860","Kagayanen",10.4656,119.872,"kaga1256","Multiple contributors from Cagayancillo, Palawan",210,"https://abvd.eva.mpg.de/austronesian/language.php?id=860",1,0.0769230769230769
"428","Kalagan",6.8126,125.328,"kala1388","D. Murray in Reid (1971)",178,"https://abvd.eva.mpg.de/austronesian/language.php?id=428",0,0
"711","Kalinga (Minangali)",17.3441,121.311,"lowe1412","Kenneth S. Olson, et. al.",171,"https://abvd.eva.mpg.de/austronesian/language.php?id=711",1,0.0769230769230769
"429","Kalinga, Guinaang, Lubuagan Dialect",17.3879,121.0365,"lubu1243","C.R. Geiser in Reid (1971)",207,"https://abvd.eva.mpg.de/austronesian/language.php?id=429",1,0.0769230769230769
"672","Kalinga, Limos",17.6081,121.381,"limo1248","Summer Institute of Linguistics (1981)",197,"https://abvd.eva.mpg.de/austronesian/language.php?id=672",0,0
"671","Kalinga, Southern",17.2936,121.068,"sout2908","Summer Institute of Linguistics (1980)",152,"https://abvd.eva.mpg.de/austronesian/language.php?id=671",1,0.0769230769230769
"430","Kallahan, Kayapa Proper",16.321,120.9,"kaya1320","P.O. Afable in Reid (1971)",178,"https://abvd.eva.mpg.de/austronesian/language.php?id=430",0,0
"1549","Kamayo",8.10796,126.314,"kama1363","Summer Institute of Linguistics (unknown authors). 1966. Kamayo available via Zorc, R. David. 1972. Unpublished field notes.",173,"https://abvd.eva.mpg.de/austronesian/language.php?id=1549",6,0.461538461538462
"681","Kankanaey",16.8548,120.689,"kank1243","Janet Allen",209,"https://abvd.eva.mpg.de/austronesian/language.php?id=681",0,0
"432","Kankanay, Northern",17.1057,120.786,"nort2877","D. Hettick in Reid (1971)",178,"https://abvd.eva.mpg.de/austronesian/language.php?id=432",0,0
"33, 1200","Kapampangan",14.9603,120.502,"pamp1243","Blust from: Forman (1971), McFarland 1977; Eduardo John A. Balatbat",210,"https://abvd.eva.mpg.de/austronesian/language.php?id=33; https://abvd.eva.mpg.de/austronesian/language.php?id=1200",2,0.153846153846154
"657","Kinaray-a",10.8131,122.297,"kina1250","Arnel Genzola",201,"https://abvd.eva.mpg.de/austronesian/language.php?id=657",1,0.0769230769230769
"685","Maguindanaon",6.9453,124.509,"magu1243","Robert E. Sullivan",210,"https://abvd.eva.mpg.de/austronesian/language.php?id=685",0,0
"433","Mamanwa",9.44744,125.548,"mama1275","J. & H. Miller in Reid (1971)",183,"https://abvd.eva.mpg.de/austronesian/language.php?id=433",2,0.153846153846154
"1258, 1641","Manide; Manide (Labo)",14.1571,122.835,"cama1250","Jason Lobel (2010); Doroja (2017)",198,"https://abvd.eva.mpg.de/austronesian/language.php?id=1258; https://abvd.eva.mpg.de/austronesian/language.php?id=1641",2,0.153846153846154
"435, 434","Manobo, Ata (down-river); Manobo, Ata (up-river)",7.7789,125.499,"atam1240","V. Morey & U. Post in Reid (1971)",201,"https://abvd.eva.mpg.de/austronesian/language.php?id=435; https://abvd.eva.mpg.de/austronesian/language.php?id=434",0,0
"436","Manobo, Dibabawon",7.85664,126.018,"diba1242","J. Forster in Reid (1971)",178,"https://abvd.eva.mpg.de/austronesian/language.php?id=436",1,0.0769230769230769
"437","Manobo, Ilianen (Kibudtungan Dialect)",7.34448,124.766,"ilia1236","J. Shand & H. Wrigglesworth in Reid (1971)",181,"https://abvd.eva.mpg.de/austronesian/language.php?id=437",0,0
"438","Manobo, Kalamansig Cotabato (Paril Dialect)",6.39417,124.234,"cota1241","E. C. Johnston in Reid (1971)",186,"https://abvd.eva.mpg.de/austronesian/language.php?id=438",0,0
