tip,glottocode,gb_name,is_philippine,n_answered,GB020,GB021,GB022,GB023,GB028,GB030,GB031,GB035,GB036,GB037,GB042,GB043,GB044,GB051,GB052,GB053,GB054,GB065,GB070,GB071,GB072,GB073,GB079,GB080,GB082,GB083,GB084,GB086,GB089,GB090,GB091,GB092,GB093,GB094,GB107,GB121,GB130,GB131,GB137,GB138,GB171,GB172,GB186,GB192,GB196,GB197,GB316,GB318,GB321,GB415
NehanHape,neha1247,Nehan,FALSE,48,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,NA,0,0,0,1,1,1,1,1,1,0,0,1,3,0,0,0,NA,1,1,0,0,0,1,1,1,0
Nelemwa,kuma1276,Nêlêmwa-Nixumwak,FALSE,49,0,0,0,1,1,0,1,1,NA,0,0,0,0,0,0,0,0,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1
Nengone,neng1238,Nengone,FALSE,50,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1
Nese,nese1235,Nese,FALSE,50,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
Neveei,vinm1237,Neve'ei,FALSE,48,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,NA,1,0,1,0,0,0,0,0,0,0,0,1,0,NA
Nggela,gela1263,Gela,FALSE,48,1,NA,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
Nukuoro,nuku1260,Nukuoro,FALSE,49,1,NA,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,3,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0
Palauan,pala1344,Palauan,FALSE,50,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Pangasinan,pang1290,Pangasinan,TRUE,50,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,1
Patpatar,patp1243,Patpatar,FALSE,50,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0
