phoneme_id,ipa,global_n,class
phoneme_394,æ,161,vowel
phoneme_395,e̤,2,vowel
phoneme_396,I,298,vowel
phoneme_397,ø,106,vowel
phoneme_398,y,140,vowel
phoneme_399,I̤,2,vowel
phoneme_400,ɛ̤,3,vowel
phoneme_401,ɛ,706,vowel
phoneme_402,Y,10,vowel
phoneme_403,œ,33,vowel
phoneme_404,e̅,1,vowel
phoneme_405,ḛ,1,vowel
phoneme_406,e˃,1,vowel
phoneme_407,w̤,1,consonant
phoneme_408,ə̯,1,consonant
phoneme_409,j,1855,consonant
phoneme_410,j̥,28,consonant
phoneme_411,w˜,13,consonant
phoneme_412,ˀj,53,consonant
phoneme_413,ɨ̯,2,consonant
phoneme_414,w̥,41,consonant
phoneme_415,w,1684,consonant
phoneme_416,ɯ̯,4,consonant
phoneme_417,jˀ,7,consonant
phoneme_418,ɑ̯,1,consonant
phoneme_419,ˀw,41,consonant
phoneme_420,ɥ˜,1,consonant
phoneme_421,wˀ,6,consonant
phoneme_422,j̤,2,consonant
phoneme_423,ɥ,24,consonant
phoneme_424,ȷ˜,6,consonant
phoneme_425,ɬʰ,1,consonant
phoneme_426,l̥ᵚ,1,consonant
phoneme_427,l̪̥,1,consonant
phoneme_428,ʎ̣,1,consonant
phoneme_429,ɬ̣,2,consonant
phoneme_430,l,1650,consonant
phoneme_431,ɬˀ,6,consonant
phoneme_432,ḷ̥,1,consonant
phoneme_433,lᵚ,15,consonant
phoneme_434,l̤,10,consonant
phoneme_435,ɬ,165,consonant
phoneme_436,ɬː,1,consonant
phoneme_437,ˀl,31,consonant
phoneme_438,ḷ̌,7,consonant
phoneme_439,l̯,33,consonant
phoneme_440,L̥,1,consonant
phoneme_441,ʎ,126,consonant
phoneme_442,L,8,consonant
phoneme_443,l˜,1,consonant
phoneme_444,l̪,9,consonant
phoneme_445,ɮ,19,consonant
phoneme_446,ʎᵚ,1,consonant
phoneme_447,l̥,49,consonant
phoneme_448,ɬ̪,1,consonant
phoneme_449,ľ,38,consonant
phoneme_450,lˀ,4,consonant
phoneme_451,ḷ̤,2,consonant
phoneme_452,bɮ,0,consonant
phoneme_453,ḷ,105,consonant
phoneme_454,ʎ̥,4,consonant
phoneme_455,lʲ,3,consonant
phoneme_456,c̯,3,mod_consonant
phoneme_457,ˀc,3,mod_consonant
phoneme_458,cː,361,mod_consonant
phoneme_459,cᴺ,1,mod_consonant
phoneme_460,cʲʷ,1,mod_consonant
phoneme_461,c̥,5,mod_consonant
phoneme_462,cʰ,3,mod_consonant
phoneme_463,cᶛ,22,mod_consonant
phoneme_464,cʲː,4,mod_consonant
phoneme_465,cˀ,2,mod_consonant
phoneme_466,c̣,1,mod_consonant
phoneme_467,cʲ,130,mod_consonant
phoneme_468,ᴺc,200,mod_consonant
phoneme_469,c̣ː,1,mod_consonant
phoneme_470,ʰcᴺ,1,mod_consonant
phoneme_471,cːː,1,mod_consonant
phoneme_472,ͨN,1,mod_consonant
phoneme_473,cᵚ,4,mod_consonant
phoneme_474,c̤,1,mod_consonant
phoneme_475,cʲ̱,1,mod_consonant
phoneme_476,cʷ,234,mod_consonant
phoneme_477,vowelharmony,154,mod_vowel
phoneme_478,vː̰,1,mod_vowel
phoneme_479,vowelharmony_TR,1,mod_vowel
phoneme_480,v̱,3,mod_vowel
phoneme_481,v˜ᶛ,3,mod_vowel
phoneme_482,vː,968,mod_vowel
phoneme_483,v̤̅,1,mod_vowel
phoneme_484,v˜̰,7,mod_vowel
phoneme_485,vʔ,0,mod_vowel
phoneme_486,vˀv,0,mod_vowel
phoneme_487,v̤,40,mod_vowel
phoneme_488,vˀ_v,1,mod_vowel
phoneme_489,nasalharmony,24,mod_vowel
phoneme_490,vː̤,1,mod_vowel
phoneme_491,̅vː,2,mod_vowel
phoneme_492,v̆,2,mod_vowel
phoneme_493,v˜,462,mod_vowel
phoneme_494,v̰ː,6,mod_vowel
phoneme_495,v̥,4,mod_vowel
phoneme_496,v˜̤,4,mod_vowel
phoneme_497,v˜ː,111,mod_vowel
phoneme_498,̱vː,1,mod_vowel
phoneme_499,v̅,3,mod_vowel
phoneme_500,vᶛ,5,mod_vowel
phoneme_501,v̰,31,mod_vowel
phoneme_502,v̤ː,8,mod_vowel
phoneme_503,vˀ,3,mod_vowel
phoneme_504,mˡ,5,consonant
phoneme_505,n̪̥,0,consonant
phoneme_506,n̥˜,5,consonant
phoneme_507,n̥,63,consonant
phoneme_508,ˀn˜,3,consonant
phoneme_509,ŋm,40,consonant
phoneme_510,ṇ̥,2,consonant
phoneme_511,nʱ,1,consonant
phoneme_512,ŋ̥ʷ,1,consonant
phoneme_513,ˀn̪,0,consonant
phoneme_514,ŋʷ,29,consonant
phoneme_515,m,2044,consonant
phoneme_516,n,2050,consonant
phoneme_517,ˀŋʷ,1,consonant
phoneme_518,ŋˀ,2,consonant
phoneme_519,ṇ,142,consonant
phoneme_520,m̥,56,consonant
phoneme_521,mʷ,4,consonant
phoneme_522,nˀ,7,consonant
phoneme_523,ˀm,41,consonant
phoneme_524,nm,0,consonant
phoneme_525,ɱ,1,consonant
phoneme_526,ˀn,40,consonant
phoneme_527,mʱ,1,consonant
phoneme_528,N,14,consonant
phoneme_529,mᶛ,1,consonant
phoneme_530,nʲ,4,consonant
phoneme_531,mˀ,8,consonant
phoneme_532,ŋᵚ,1,consonant
phoneme_533,n̤,10,consonant
phoneme_534,n̪ᵚ,1,consonant
phoneme_535,mn˜,0,consonant
phoneme_536,n˜,801,consonant
phoneme_537,ṇ̤,1,consonant
phoneme_538,ŋ^,3,consonant
phoneme_539,ŋʲ,1,consonant
phoneme_540,n̯,57,consonant
phoneme_541,ŋ̥ʲ,1,consonant
phoneme_542,m̥ˡ,3,consonant
phoneme_543,ˀŋ,6,consonant
phoneme_544,ŋ,1206,consonant
phoneme_545,n˜̥,24,consonant
phoneme_546,m̤,10,consonant
phoneme_547,n̪,27,consonant
phoneme_548,nʷ,0,consonant
phoneme_549,mᵚ,1,consonant
phoneme_550,ŋ̥,30,consonant
phoneme_551,kʷ,181,consonant
phoneme_552,ɗ̪,1,consonant
phoneme_553,ɡ̤,49,consonant
phoneme_554,ᴳqʰ,1,consonant
phoneme_555,ʔ,898,consonant
phoneme_556,t̪,53,consonant
phoneme_557,ʄ,17,consonant
phoneme_558,k^,2,consonant
phoneme_559,ᵈt̪ˣ,1,consonant
phoneme_560,tʰ,322,consonant
phoneme_561,dˀ,5,consonant
phoneme_562,ɟ̤,3,consonant
phoneme_563,ᶢkʰ,2,consonant
phoneme_564,pː,1,consonant
