ID	Concept	Language	IPA
4626	one	SUBANON SIOCON	sala bok
4627	path	SUBANON SIOCON	dalan
4628	person	SUBANON SIOCON	gotow
4629	see	SUBANON SIOCON	moktoŋow
4630	skin	SUBANON SIOCON	panit
4631	star	SUBANON SIOCON	bitun
4632	stone	SUBANON SIOCON	batu
4633	sun	SUBANON SIOCON	
4634	tongue	SUBANON SIOCON	dilaʔ
4635	tooth	SUBANON SIOCON	ŋisi
4636	tree	SUBANON SIOCON	kaju
4637	two	SUBANON SIOCON	duaʔ
4638	water	SUBANON SIOCON	tubig
4639	we	SUBANON SIOCON	ita
4640	you	SUBANON SIOCON	ika
4641	I	SUBANUN SINDANGAN	inan
4642	blood	SUBANUN SINDANGAN	duguʔ
4643	bone	SUBANUN SINDANGAN	tolan
4644	breast	SUBANUN SINDANGAN	duduʔ
4645	come	SUBANUN SINDANGAN	
4646	die	SUBANUN SINDANGAN	
4647	dog	SUBANUN SINDANGAN	gituʔ
4648	drink	SUBANUN SINDANGAN	minum
4649	ear	SUBANUN SINDANGAN	təliŋa
4650	eye	SUBANUN SINDANGAN	mata
4651	fire	SUBANUN SINDANGAN	gapuj
4652	fish	SUBANUN SINDANGAN	sədaʔ
4653	full	SUBANUN SINDANGAN	mpənuʔ
4654	hand	SUBANUN SINDANGAN	beŋkən
4655	hear	SUBANUN SINDANGAN	mədəŋəg
4656	horn	SUBANUN SINDANGAN	
4657	knee	SUBANUN SINDANGAN	dlulud
4658	leaf	SUBANUN SINDANGAN	doon
4659	liver	SUBANUN SINDANGAN	gataj
4660	louse	SUBANUN SINDANGAN	gutu
4661	mountain	SUBANUN SINDANGAN	bəntud
4662	name	SUBANUN SINDANGAN	ŋalan
4663	new	SUBANUN SINDANGAN	bəgu
4664	night	SUBANUN SINDANGAN	gəbii
4665	nose	SUBANUN SINDANGAN	suŋ
4666	one	SUBANUN SINDANGAN	sala
4667	path	SUBANUN SINDANGAN	dalan
4668	person	SUBANUN SINDANGAN	gətau
4669	see	SUBANUN SINDANGAN	metaʔ
4670	skin	SUBANUN SINDANGAN	panit
4671	star	SUBANUN SINDANGAN	bitun
4672	stone	SUBANUN SINDANGAN	batu
4673	sun	SUBANUN SINDANGAN	
4674	tongue	SUBANUN SINDANGAN	dilaʔ
4675	tooth	SUBANUN SINDANGAN	ŋisi
4676	tree	SUBANUN SINDANGAN	gaju
4677	two	SUBANUN SINDANGAN	duaʔ
4678	water	SUBANUN SINDANGAN	tubig
4679	we	SUBANUN SINDANGAN	ita
4680	you	SUBANUN SINDANGAN	jaʔa
4681	I	SURIGAONON	ako
4682	blood	SURIGAONON	dugoʔ
4683	bone	SURIGAONON	bukog
4684	breast	SURIGAONON	suso
4685	come	SURIGAONON	daliʔ
4686	die	SURIGAONON	pataj
4687	dog	SURIGAONON	ido
4688	drink	SURIGAONON	inom
4689	ear	SURIGAONON	taliŋa
4690	eye	SURIGAONON	mata
4691	fire	SURIGAONON	kajadʒo
4692	fish	SURIGAONON	isda
4693	full	SURIGAONON	
4694	hand	SURIGAONON	alima
4695	hear	SURIGAONON	duŋog
4696	horn	SURIGAONON	
4697	knee	SURIGAONON	
4698	leaf	SURIGAONON	dahon
4699	liver	SURIGAONON	ataj
4700	louse	SURIGAONON	kuto
4701	mountain	SURIGAONON	
4702	name	SURIGAONON	ŋajan
4703	new	SURIGAONON	bago
4704	night	SURIGAONON	dujom
4705	nose	SURIGAONON	iloŋ
4706	one	SURIGAONON	isa
4707	path	SURIGAONON	dajan
4708	person	SURIGAONON	tawo
4709	see	SURIGAONON	kita
4710	skin	SURIGAONON	panit
4711	star	SURIGAONON	biton
4712	stone	SURIGAONON	bato
4713	sun	SURIGAONON	
4714	tongue	SURIGAONON	dila
4715	tooth	SURIGAONON	ŋipon
4716	tree	SURIGAONON	
4717	two	SURIGAONON	duha
4718	water	SURIGAONON	tubig
4719	we	SURIGAONON	kita
4720	you	SURIGAONON	ikaw
4721	I	TAGABAWA	a
4722	blood	TAGABAWA	dipanug
4723	bone	TAGABAWA	tulan
4724	breast	TAGABAWA	susu
4725	come	TAGABAWA	sadun
4726	die	TAGABAWA	mate
4727	dog	TAGABAWA	asu
4728	drink	TAGABAWA	inam
4729	ear	TAGABAWA	
4730	eye	TAGABAWA	mata
4731	fire	TAGABAWA	apuj
4732	fish	TAGABAWA	
4733	full	TAGABAWA	panu
4734	hand	TAGABAWA	balad
4735	hear	TAGABAWA	dinag
4736	horn	TAGABAWA	
4737	knee	TAGABAWA	
4738	leaf	TAGABAWA	daun
4739	liver	TAGABAWA	
4740	louse	TAGABAWA	
4741	mountain	TAGABAWA	pabuŋan
4742	name	TAGABAWA	ŋadan
4743	new	TAGABAWA	mantu
4744	night	TAGABAWA	dukilam
4745	nose	TAGABAWA	
4746	one	TAGABAWA	sabad
4747	path	TAGABAWA	dalan
4748	person	TAGABAWA	manubu
4749	see	TAGABAWA	kita
4750	skin	TAGABAWA	
4751	star	TAGABAWA	
4752	stone	TAGABAWA	
4753	sun	TAGABAWA	alo
4754	tongue	TAGABAWA	
4755	tooth	TAGABAWA	ŋipan
4756	tree	TAGABAWA	kaju
4757	two	TAGABAWA	duwa
4758	water	TAGABAWA	wajig
4759	we	TAGABAWA	ki
4760	you	TAGABAWA	nu
4761	I	TAGABILI	oʔuh
4762	blood	TAGABILI	litoʔ
4763	bone	TAGABILI	tiʔol
4764	breast	TAGABILI	tutuʔ
4765	come	TAGABILI	
4766	die	TAGABILI	
4767	dog	TAGABILI	ohuh
4768	drink	TAGABILI	minum
4769	ear	TAGABILI	kliŋuh
4770	eye	TAGABILI	matah
4771	fire	TAGABILI	ofih
4772	fish	TAGABILI	uton ʔel
4773	full	TAGABILI	hnok
4774	hand	TAGABILI	sigəl
4775	hear	TAGABILI	muŋol
4776	horn	TAGABILI	
4777	knee	TAGABILI	bukol
4778	leaf	TAGABILI	doʔun
4779	liver	TAGABILI	kataj
4780	louse	TAGABILI	kutuh
4781	mountain	TAGABILI	bulul
4782	name	TAGABILI	boluj
4783	new	TAGABILI	lomih
4784	night	TAGABILI	kifuh
4785	nose	TAGABILI	iluŋ
4786	one	TAGABILI	sotuh
4787	path	TAGABILI	lan
4788	person	TAGABILI	taʔuh
4789	see	TAGABILI	mton
4790	skin	TAGABILI	kulit
4791	star	TAGABILI	blotik
4792	stone	TAGABILI	botuh
4793	sun	TAGABILI	
4794	tongue	TAGABILI	dilak
4795	tooth	TAGABILI	nihih
4796	tree	TAGABILI	kojuh
4797	two	TAGABILI	ləwuh
4798	water	TAGABILI	el
4799	we	TAGABILI	təkuj
4800	you	TAGABILI	uʔuh
4801	I	TAGALOG	ako
4802	blood	TAGALOG	dugo
4803	bone	TAGALOG	buto
4804	breast	TAGALOG	susu
4805	come	TAGALOG	datiŋ
4806	die	TAGALOG	pataj
4807	dog	TAGALOG	aso
4808	drink	TAGALOG	inom
4809	ear	TAGALOG	teŋa
4810	eye	TAGALOG	mata
4811	fire	TAGALOG	apoj
4812	fish	TAGALOG	isda
4813	full	TAGALOG	puno
4814	hand	TAGALOG	kamaj
4815	hear	TAGALOG	dinig
4816	horn	TAGALOG	saŋaj
4817	knee	TAGALOG	tuhod
4818	leaf	TAGALOG	dahon
4819	liver	TAGALOG	ataj
4820	louse	TAGALOG	kuto
4821	mountain	TAGALOG	bundok
4822	name	TAGALOG	paŋalan
4823	new	TAGALOG	bago
4824	night	TAGALOG	gabi
4825	nose	TAGALOG	iloŋ
4826	one	TAGALOG	isa
4827	path	TAGALOG	dan
4828	person	TAGALOG	tao
4829	see	TAGALOG	tiŋin
4830	skin	TAGALOG	balat
4831	star	TAGALOG	bituin
4832	stone	TAGALOG	batu
4833	sun	TAGALOG	araw
4834	tongue	TAGALOG	dila
4835	tooth	TAGALOG	ŋipin
4836	tree	TAGALOG	punuŋkahoj
4837	two	TAGALOG	dalawa
4838	water	TAGALOG	tubig
4839	we	TAGALOG	tajo
4840	you	TAGALOG	ikaw
4841	I	TAGBANUA ABORLAN	ʔaku
4842	blood	TAGBANUA ABORLAN	duguʔ
4843	bone	TAGBANUA ABORLAN	tuʔlaŋ
4844	breast	TAGBANUA ABORLAN	
4845	come	TAGBANUA ABORLAN	
4846	die	TAGBANUA ABORLAN	pataj
4847	dog	TAGBANUA ABORLAN	kəgdəŋ
4848	drink	TAGBANUA ABORLAN	ʔinum
4849	ear	TAGBANUA ABORLAN	taliŋa
4850	eye	TAGBANUA ABORLAN	mata
4851	fire	TAGBANUA ABORLAN	ʔapuj
4852	fish	TAGBANUA ABORLAN	sədaʔ
4853	full	TAGBANUA ABORLAN	
4854	hand	TAGBANUA ABORLAN	ʔalima
4855	hear	TAGBANUA ABORLAN	geneg
4856	horn	TAGBANUA ABORLAN	
4857	knee	TAGBANUA ABORLAN	
4858	leaf	TAGBANUA ABORLAN	daʔun
4859	liver	TAGBANUA ABORLAN	ʔataj
4860	louse	TAGBANUA ABORLAN	kutu
4861	mountain	TAGBANUA ABORLAN	bukid
4862	name	TAGBANUA ABORLAN	ŋaran
4863	new	TAGBANUA ABORLAN	baʔgu
4864	night	TAGBANUA ABORLAN	
4865	nose	TAGBANUA ABORLAN	ʔuruŋ
4866	one	TAGBANUA ABORLAN	ʔəsa
4867	path	TAGBANUA ABORLAN	dalan
4868	person	TAGBANUA ABORLAN	taw
4869	see	TAGBANUA ABORLAN	lətəg
4870	skin	TAGBANUA ABORLAN	
4871	star	TAGBANUA ABORLAN	bituʔun
4872	stone	TAGBANUA ABORLAN	batu
4873	sun	TAGBANUA ABORLAN	ʔaldaw
4874	tongue	TAGBANUA ABORLAN	dila
4875	tooth	TAGBANUA ABORLAN	nipən
4876	tree	TAGBANUA ABORLAN	kaju
4877	two	TAGBANUA ABORLAN	dua
4878	water	TAGBANUA ABORLAN	danum
4879	we	TAGBANUA ABORLAN	kami
4880	you	TAGBANUA ABORLAN	ka
4881	I	TAGBANWA ABORLAN	aku
4882	blood	TAGBANWA ABORLAN	duguʔ
4883	bone	TAGBANWA ABORLAN	tuʔlaŋ
4884	breast	TAGBANWA ABORLAN	duduʔ
4885	come	TAGBANWA ABORLAN	
4886	die	TAGBANWA ABORLAN	
4887	dog	TAGBANWA ABORLAN	kəʔdəŋ
4888	drink	TAGBANWA ABORLAN	inum
4889	ear	TAGBANWA ABORLAN	taliŋa
4890	eye	TAGBANWA ABORLAN	mata
4891	fire	TAGBANWA ABORLAN	apuj
4892	fish	TAGBANWA ABORLAN	sədaʔ
4893	full	TAGBANWA ABORLAN	punu
4894	hand	TAGBANWA ABORLAN	alima
4895	hear	TAGBANWA ABORLAN	gənəg
4896	horn	TAGBANWA ABORLAN	
4897	knee	TAGBANWA ABORLAN	tuʔud
4898	leaf	TAGBANWA ABORLAN	daʔun
4899	liver	TAGBANWA ABORLAN	ataj
4900	louse	TAGBANWA ABORLAN	kutu
4901	mountain	TAGBANWA ABORLAN	bukid
4902	name	TAGBANWA ABORLAN	ŋaran
4903	new	TAGBANWA ABORLAN	baʔgu
4904	night	TAGBANWA ABORLAN	dələm
4905	nose	TAGBANWA ABORLAN	uruŋ
4906	one	TAGBANWA ABORLAN	əsa
4907	path	TAGBANWA ABORLAN	dalan
4908	person	TAGBANWA ABORLAN	taw
4909	see	TAGBANWA ABORLAN	lətəg
4910	skin	TAGBANWA ABORLAN	lamilamit
4911	star	TAGBANWA ABORLAN	bituʔun
4912	stone	TAGBANWA ABORLAN	batu
4913	sun	TAGBANWA ABORLAN	
4914	tongue	TAGBANWA ABORLAN	dila
4915	tooth	TAGBANWA ABORLAN	nipən
4916	tree	TAGBANWA ABORLAN	kaju
4917	two	TAGBANWA ABORLAN	dua
4918	water	TAGBANWA ABORLAN	danum
4919	we	TAGBANWA ABORLAN	tami
4920	you	TAGBANWA ABORLAN	ka
4921	I	TAGBANWA KALAMIAN	juu
4922	blood	TAGBANWA KALAMIAN	duguʔ
4923	bone	TAGBANWA KALAMIAN	duliʔ
4924	breast	TAGBANWA KALAMIAN	susuʔ
4925	come	TAGBANWA KALAMIAN	
4926	die	TAGBANWA KALAMIAN	
4927	dog	TAGBANWA KALAMIAN	kiruʔ
4928	drink	TAGBANWA KALAMIAN	inəm
4929	ear	TAGBANWA KALAMIAN	taliŋaʔ
4930	eye	TAGBANWA KALAMIAN	mataʔ
4931	fire	TAGBANWA KALAMIAN	apuj
4932	fish	TAGBANWA KALAMIAN	ian
4933	full	TAGBANWA KALAMIAN	punuk
4934	hand	TAGBANWA KALAMIAN	kalimaʔ
4935	hear	TAGBANWA KALAMIAN	dəŋəl
4936	horn	TAGBANWA KALAMIAN	
4937	knee	TAGBANWA KALAMIAN	tuud
4938	leaf	TAGBANWA KALAMIAN	kəlad
4939	liver	TAGBANWA KALAMIAN	kandas
4940	louse	TAGBANWA KALAMIAN	tutʔ
4941	mountain	TAGBANWA KALAMIAN	bukid
4942	name	TAGBANWA KALAMIAN	aran
4943	new	TAGBANWA KALAMIAN	bakluʔ
4944	night	TAGBANWA KALAMIAN	labii
4945	nose	TAGBANWA KALAMIAN	uruŋ
4946	one	TAGBANWA KALAMIAN	tasaʔ
4947	path	TAGBANWA KALAMIAN	dalan
4948	person	TAGBANWA KALAMIAN	tauʔ
4949	see	TAGBANWA KALAMIAN	itaʔ
4950	skin	TAGBANWA KALAMIAN	ulit
4951	star	TAGBANWA KALAMIAN	bitukun
4952	stone	TAGBANWA KALAMIAN	batuʔ
4953	sun	TAGBANWA KALAMIAN	
4954	tongue	TAGBANWA KALAMIAN	dilak
4955	tooth	TAGBANWA KALAMIAN	
4956	tree	TAGBANWA KALAMIAN	ajuʔ
4957	two	TAGBANWA KALAMIAN	duruaʔ
4958	water	TAGBANWA KALAMIAN	waiʔ
4959	we	TAGBANWA KALAMIAN	ita
4960	you	TAGBANWA KALAMIAN	jawa
4961	I	TALAANDIG BINUKID	janʔa
4962	blood	TALAANDIG BINUKID	laŋəsa
4963	bone	TALAANDIG BINUKID	tulʔan
4964	breast	TALAANDIG BINUKID	
4965	come	TALAANDIG BINUKID	dini
4966	die	TALAANDIG BINUKID	minataj
4967	dog	TALAANDIG BINUKID	aso
4968	drink	TALAANDIG BINUKID	inəm
4969	ear	TALAANDIG BINUKID	taliŋa
4970	eye	TALAANDIG BINUKID	mata
4971	fire	TALAANDIG BINUKID	hapuj
4972	fish	TALAANDIG BINUKID	isdaʔ
4973	full	TALAANDIG BINUKID	punuʔ
4974	hand	TALAANDIG BINUKID	alima
4975	hear	TALAANDIG BINUKID	paliman
4976	horn	TALAANDIG BINUKID	suŋaj
4977	knee	TALAANDIG BINUKID	buʔol
4978	leaf	TALAANDIG BINUKID	dahon
4979	liver	TALAANDIG BINUKID	ataj
4980	louse	TALAANDIG BINUKID	lusaʔ
4981	mountain	TALAANDIG BINUKID	buntod
4982	name	TALAANDIG BINUKID	ŋaran
4983	new	TALAANDIG BINUKID	bagʔu
4984	night	TALAANDIG BINUKID	daləman
4985	nose	TALAANDIG BINUKID	idəŋ
4986	one	TALAANDIG BINUKID	sabuwa
4987	path	TALAANDIG BINUKID	dalan
4988	person	TALAANDIG BINUKID	ətaw
4989	see	TALAANDIG BINUKID	ahaʔ
4990	skin	TALAANDIG BINUKID	laŋgit
4991	star	TALAANDIG BINUKID	bituon
4992	stone	TALAANDIG BINUKID	batu
4993	sun	TALAANDIG BINUKID	anlaw
4994	tongue	TALAANDIG BINUKID	dilaʔ
4995	tooth	TALAANDIG BINUKID	ŋipən
4996	tree	TALAANDIG BINUKID	kaju
4997	two	TALAANDIG BINUKID	daduwa
4998	water	TALAANDIG BINUKID	wahig
4999	we	TALAANDIG BINUKID	jaŋkuj
5000	you	TALAANDIG BINUKID	jaŋka
5001	I	TAMBUNAN DUSUN	joku
5002	blood	TAMBUNAN DUSUN	raha
5003	bone	TAMBUNAN DUSUN	tulaŋ
5004	breast	TAMBUNAN DUSUN	susu
5005	come	TAMBUNAN DUSUN	rumikot
5006	die	TAMBUNAN DUSUN	napatai
5007	dog	TAMBUNAN DUSUN	tasu
5008	drink	TAMBUNAN DUSUN	moŋinum
5009	ear	TAMBUNAN DUSUN	toliŋo
5010	eye	TAMBUNAN DUSUN	mato
5011	fire	TAMBUNAN DUSUN	tapui
5012	fish	TAMBUNAN DUSUN	sada
5013	full	TAMBUNAN DUSUN	
5014	hand	TAMBUNAN DUSUN	loŋon
5015	hear	TAMBUNAN DUSUN	koroŋou
5016	horn	TAMBUNAN DUSUN	
5017	knee	TAMBUNAN DUSUN	
5018	leaf	TAMBUNAN DUSUN	roun
5019	liver	TAMBUNAN DUSUN	tokowijau
5020	louse	TAMBUNAN DUSUN	lios
5021	mountain	TAMBUNAN DUSUN	
5022	name	TAMBUNAN DUSUN	ŋaran
5023	new	TAMBUNAN DUSUN	wagu
5024	night	TAMBUNAN DUSUN	totuoŋ
5025	nose	TAMBUNAN DUSUN	toduŋ
5026	one	TAMBUNAN DUSUN	iso
5027	path	TAMBUNAN DUSUN	ralan
5028	person	TAMBUNAN DUSUN	tulun
5029	see	TAMBUNAN DUSUN	kokito
5030	skin	TAMBUNAN DUSUN	kulit
5031	star	TAMBUNAN DUSUN	rombituon
5032	stone	TAMBUNAN DUSUN	watu
5033	sun	TAMBUNAN DUSUN	
5034	tongue	TAMBUNAN DUSUN	dila
5035	tooth	TAMBUNAN DUSUN	nipon
5036	tree	TAMBUNAN DUSUN	
5037	two	TAMBUNAN DUSUN	duo
5038	water	TAMBUNAN DUSUN	waig
5039	we	TAMBUNAN DUSUN	jahai
5040	you	TAMBUNAN DUSUN	ika
5041	I	TAUSUG	akuh
5042	blood	TAUSUG	duguʔ
5043	bone	TAUSUG	bukug
5044	breast	TAUSUG	duruʔ
5045	come	TAUSUG	
5046	die	TAUSUG	
5047	dog	TAUSUG	ʔiruʔ
5048	drink	TAUSUG	magʔinum
5049	ear	TAUSUG	taiŋah
5050	eye	TAUSUG	matah
5051	fire	TAUSUG	kajuh
5052	fish	TAUSUG	istaʔ
5053	full	TAUSUG	hipuʔ
5054	hand	TAUSUG	limah
5055	hear	TAUSUG	magduŋug
5056	horn	TAUSUG	
5057	knee	TAUSUG	tuhud
5058	leaf	TAUSUG	dahun
5059	liver	TAUSUG	ataj
5060	louse	TAUSUG	kutuh
5061	mountain	TAUSUG	buud
5062	name	TAUSUG	ŋan
5063	new	TAUSUG	baʔguh
5064	night	TAUSUG	duum
5065	nose	TAUSUG	iluŋ
5066	one	TAUSUG	hambuʔuk
5067	path	TAUSUG	daan
5068	person	TAUSUG	taʔuh
5069	see	TAUSUG	kimitaʔ
5070	skin	TAUSUG	paʔis
5071	star	TAUSUG	bituʔun
5072	stone	TAUSUG	batu
5073	sun	TAUSUG	
5074	tongue	TAUSUG	dilaʔ
5075	tooth	TAUSUG	ipun
5076	tree	TAUSUG	kahuj
5077	two	TAUSUG	duah
5078	water	TAUSUG	tubig
5079	we	TAUSUG	kitaniuh
5080	you	TAUSUG	kaw
5081	I	TAUT BATU	aku
5082	blood	TAUT BATU	duguʔ
5083	bone	TAUT BATU	tuʔlaŋ
5084	breast	TAUT BATU	
5085	come	TAUT BATU	
5086	die	TAUT BATU	patəj
5087	dog	TAUT BATU	ʔideŋ
5088	drink	TAUT BATU	ʔinum
5089	ear	TAUT BATU	taliŋa
5090	eye	TAUT BATU	mata
5091	fire	TAUT BATU	ʔapuj
5092	fish	TAUT BATU	sədaʔ
5093	full	TAUT BATU	
5094	hand	TAUT BATU	
5095	hear	TAUT BATU	kiŋeg
5096	horn	TAUT BATU	
5097	knee	TAUT BATU	
5098	leaf	TAUT BATU	dəʔun
5099	liver	TAUT BATU	ʔatəj
5100	louse	TAUT BATU	
5101	mountain	TAUT BATU	bukid
5102	name	TAUT BATU	ŋaran
5103	new	TAUT BATU	baʔgu
5104	night	TAUT BATU	gebiʔi
5105	nose	TAUT BATU	ʔaduŋ
5106	one	TAUT BATU	isaʔ
5107	path	TAUT BATU	dalan
5108	person	TAUT BATU	taʔu
5109	see	TAUT BATU	
5110	skin	TAUT BATU	
5111	star	TAUT BATU	bituʔən
5112	stone	TAUT BATU	batu
5113	sun	TAUT BATU	ʔaldaw
5114	tongue	TAUT BATU	diləp
5115	tooth	TAUT BATU	nipən
5116	tree	TAUT BATU	kaju
5117	two	TAUT BATU	dua
5118	water	TAUT BATU	danum
5119	we	TAUT BATU	kami
5120	you	TAUT BATU	kə
5121	I	TBOLI TAGABILI	nuʔ səh
5122	blood	TBOLI TAGABILI	litoʔ
5123	bone	TBOLI TAGABILI	tiʔol
5124	breast	TBOLI TAGABILI	tutuʔ
5125	come	TBOLI TAGABILI	mogow
5126	die	TBOLI TAGABILI	dəŋ mataj
5127	dog	TBOLI TAGABILI	ohuh
5128	drink	TBOLI TAGABILI	minum
5129	ear	TBOLI TAGABILI	kliŋuh
5130	eye	TBOLI TAGABILI	matah
5131	fire	TBOLI TAGABILI	ohuʔ
5132	fish	TBOLI TAGABILI	uton
5133	full	TBOLI TAGABILI	
5134	hand	TBOLI TAGABILI	sigtl
5135	hear	TBOLI TAGABILI	muŋol
5136	horn	TBOLI TAGABILI	
5137	knee	TBOLI TAGABILI	
5138	leaf	TBOLI TAGABILI	doʔun
5139	liver	TBOLI TAGABILI	kataj
5140	louse	TBOLI TAGABILI	kutuh
5141	mountain	TBOLI TAGABILI	
5142	name	TBOLI TAGABILI	boluj
5143	new	TBOLI TAGABILI	lomih
5144	night	TBOLI TAGABILI	kifuh
5145	nose	TBOLI TAGABILI	iluŋ
5146	one	TBOLI TAGABILI	msoʔ
5147	path	TBOLI TAGABILI	lan
5148	person	TBOLI TAGABILI	taʔuh
5149	see	TBOLI TAGABILI	mton
5150	skin	TBOLI TAGABILI	kulit
5151	star	TBOLI TAGABILI	blotik
5152	stone	TBOLI TAGABILI	botuh
5153	sun	TBOLI TAGABILI	
5154	tongue	TBOLI TAGABILI	dilak
5155	tooth	TBOLI TAGABILI	nihih
5156	tree	TBOLI TAGABILI	
5157	two	TBOLI TAGABILI	sotuh
5158	water	TBOLI TAGABILI	el
5159	we	TBOLI TAGABILI	duh
5160	you	TBOLI TAGABILI	oʔuh
5161	I	TIMUGON MURUT	aku
5162	blood	TIMUGON MURUT	dadaʔ
5163	bone	TIMUGON MURUT	tulaŋ
5164	breast	TIMUGON MURUT	titiʔ
5165	come	TIMUGON MURUT	datoŋ
5166	die	TIMUGON MURUT	patoj
5167	dog	TIMUGON MURUT	ukuʔ
5168	drink	TIMUGON MURUT	inum
5169	ear	TIMUGON MURUT	taliŋo
5170	eye	TIMUGON MURUT	mato
5171	fire	TIMUGON MURUT	apuj
5172	fish	TIMUGON MURUT	papait
5173	full	TIMUGON MURUT	
5174	hand	TIMUGON MURUT	kalinduʔ
5175	hear	TIMUGON MURUT	doŋog
5176	horn	TIMUGON MURUT	
5177	knee	TIMUGON MURUT	
5178	leaf	TIMUGON MURUT	daun
5179	liver	TIMUGON MURUT	aŋkajaw
5180	louse	TIMUGON MURUT	kutu
5181	mountain	TIMUGON MURUT	
5182	name	TIMUGON MURUT	galan
5183	new	TIMUGON MURUT	agu
5184	night	TIMUGON MURUT	dondom
5185	nose	TIMUGON MURUT	aduŋ
5186	one	TIMUGON MURUT	ditakaw
5187	path	TIMUGON MURUT	dalan
5188	person	TIMUGON MURUT	ulun
5189	see	TIMUGON MURUT	kito
5190	skin	TIMUGON MURUT	kuŋkuŋ
5191	star	TIMUGON MURUT	butitin
5192	stone	TIMUGON MURUT	batu
5193	sun	TIMUGON MURUT	
5194	tongue	TIMUGON MURUT	dilaʔ
5195	tooth	TIMUGON MURUT	dipon
5196	tree	TIMUGON MURUT	
5197	two	TIMUGON MURUT	dondoʔ
5198	water	TIMUGON MURUT	timug
5199	we	TIMUGON MURUT	to
5200	you	TIMUGON MURUT	kow
5201	I	TIRURAY	begen
5202	blood	TIRURAY	dara
5203	bone	TIRURAY	bukal
5204	breast	TIRURAY	tutuʔ
5205	come	TIRURAY	aŋej
5206	die	TIRURAY	fandus
5207	dog	TIRURAY	ituʔ
5208	drink	TIRURAY	inem
5209	ear	TIRURAY	keliŋoʔ
5210	eye	TIRURAY	moto
5211	fire	TIRURAY	afej
5212	fish	TIRURAY	sedoʔ
5213	full	TIRURAY	besor
5214	hand	TIRURAY	kuwonon
5215	hear	TIRURAY	bohol
5216	horn	TIRURAY	siduŋ
5217	knee	TIRURAY	etur
5218	leaf	TIRURAY	daʔun
5219	liver	TIRURAY	tagah
5220	louse	TIRURAY	kuwor
5221	mountain	TIRURAY	menitej
5222	name	TIRURAY	dawet
5223	new	TIRURAY	antu
5224	night	TIRURAY	buteŋ
5225	nose	TIRURAY	iruŋ
5226	one	TIRURAY	uno
5227	path	TIRURAY	aguwon
5228	person	TIRURAY	etew
5229	see	TIRURAY	
5230	skin	TIRURAY	kulit
5231	star	TIRURAY	gitoʔon
5232	stone	TIRURAY	batew
5233	sun	TIRURAY	teresaŋ
5234	tongue	TIRURAY	dilaʔ
5235	tooth	TIRURAY	kifen
5236	tree	TIRURAY	kajew
5237	two	TIRURAY	dos
5238	water	TIRURAY	reguwas
5239	we	TIRURAY	betom
5240	you	TIRURAY	beʔem
5241	I	TURKISH	ben
5242	blood	TURKISH	kan
5243	bone	TURKISH	kemik
5244	breast	TURKISH	gəGis
5245	come	TURKISH	gel
5246	die	TURKISH	zar
5247	dog	TURKISH	kəpek
5248	drink	TURKISH	iCki
5249	ear	TURKISH	kulak
5250	eye	TURKISH	delik
5251	fire	TURKISH	ateS
5252	fish	TURKISH	balək
5253	full	TURKISH	dolugun
5254	hand	TURKISH	el
5255	hear	TURKISH	iSitmek
5256	horn	TURKISH	bonuz
5257	knee	TURKISH	diz
5258	leaf	TURKISH	jeprak
5259	liver	TURKISH	karadʒijer
5260	louse	TURKISH	bit
5261	mountain	TURKISH	da silsilesi
5262	name	TURKISH	isim
5263	new	TURKISH	jeni
5264	night	TURKISH	gedʒe
5265	nose	TURKISH	burun udʒ
5266	one	TURKISH	bir
5267	path	TURKISH	keCi jolu
5268	person	TURKISH	sahəs
5269	see	TURKISH	gər
5270	skin	TURKISH	deri
5271	star	TURKISH	jəldəz
5272	stone	TURKISH	taS
5273	sun	TURKISH	gineS
5274	tongue	TURKISH	dil
5275	tooth	TURKISH	diS
5276	tree	TURKISH	ajaC Sedʒere
5277	two	TURKISH	iki
5278	water	TURKISH	su
5279	we	TURKISH	biz
5280	you	TURKISH	sen
5281	I	UGARITIC	an
5282	blood	UGARITIC	dm
5283	bone	UGARITIC	X8Xm
5284	breast	UGARITIC	8d
5285	come	UGARITIC	atw
5286	die	UGARITIC	mt
5287	dog	UGARITIC	klb
5288	drink	UGARITIC	Stj
5289	ear	UGARITIC	udn
5290	eye	UGARITIC	Xn
5291	fire	UGARITIC	iSitu
5292	fish	UGARITIC	dg
5293	full	UGARITIC	
5294	hand	UGARITIC	jd
5295	hear	UGARITIC	SmX
5296	horn	UGARITIC	ʔrn
5297	knee	UGARITIC	brk
5298	leaf	UGARITIC	
5299	liver	UGARITIC	kbd
5300	louse	UGARITIC	
5301	mountain	UGARITIC	gbl
5302	name	UGARITIC	Sm
5303	new	UGARITIC	Xd8
5304	night	UGARITIC	ll
5305	nose	UGARITIC	apu
5306	one	UGARITIC	aXd
5307	path	UGARITIC	ntb
5308	person	UGARITIC	adm
5309	see	UGARITIC	amr
5310	skin	UGARITIC	Xoru
5311	star	UGARITIC	kbkb
5312	stone	UGARITIC	abn
5313	sun	UGARITIC	SapSu
5314	tongue	UGARITIC	laSanu
5315	tooth	UGARITIC	Sn
5316	tree	UGARITIC	XsX
5317	two	UGARITIC	8n
5318	water	UGARITIC	mj
5319	we	UGARITIC	
5320	you	UGARITIC	ata
5321	I	WARAY WARAY	ako
5322	blood	WARAY WARAY	dugo
