ID	Concept	Language	IPA
296	horn	BATAK PALAWAN	
297	knee	BATAK PALAWAN	tuud
298	leaf	BATAK PALAWAN	daun
299	liver	BATAK PALAWAN	ataj
300	louse	BATAK PALAWAN	kutu
301	mountain	BATAK PALAWAN	bulud
302	name	BATAK PALAWAN	ŋaran
303	new	BATAK PALAWAN	baʔgu
304	night	BATAK PALAWAN	dələm
305	nose	BATAK PALAWAN	uruŋ
306	one	BATAK PALAWAN	əsa
307	path	BATAK PALAWAN	dalan
308	person	BATAK PALAWAN	taw
309	see	BATAK PALAWAN	ləʔgan
310	skin	BATAK PALAWAN	kulit
311	star	BATAK PALAWAN	panakunun
312	stone	BATAK PALAWAN	batu
313	sun	BATAK PALAWAN	
314	tongue	BATAK PALAWAN	dilaʔ
315	tooth	BATAK PALAWAN	nipən
316	tree	BATAK PALAWAN	kaju
317	two	BATAK PALAWAN	dua
318	water	BATAK PALAWAN	danum
319	we	BATAK PALAWAN	kitami
320	you	BATAK PALAWAN	ikaw
321	I	BILAAN KORONADAL	agu
322	blood	BILAAN KORONADAL	litəʔ
323	bone	BILAAN KORONADAL	tulon
324	breast	BILAAN KORONADAL	tutuʔ
325	come	BILAAN KORONADAL	
326	die	BILAAN KORONADAL	
327	dog	BILAAN KORONADAL	ajəm
328	drink	BILAAN KORONADAL	inum
329	ear	BILAAN KORONADAL	kliŋə
330	eye	BILAAN KORONADAL	mato
331	fire	BILAAN KORONADAL	lifoh
332	fish	BILAAN KORONADAL	nalaf
333	full	BILAAN KORONADAL	fnoʔ
334	hand	BILAAN KORONADAL	sigal
335	hear	BILAAN KORONADAL	liŋə
336	horn	BILAAN KORONADAL	
337	knee	BILAAN KORONADAL	bukal
338	leaf	BILAAN KORONADAL	doʔon
339	liver	BILAAN KORONADAL	atoj
340	louse	BILAAN KORONADAL	kutuʔ
341	mountain	BILAAN KORONADAL	bulul
342	name	BILAAN KORONADAL	dagit
343	new	BILAAN KORONADAL	falami
344	night	BILAAN KORONADAL	butaŋ
345	nose	BILAAN KORONADAL	iluŋ
346	one	BILAAN KORONADAL	satu
347	path	BILAAN KORONADAL	dalon
348	person	BILAAN KORONADAL	to
349	see	BILAAN KORONADAL	təʔən
350	skin	BILAAN KORONADAL	kulit
351	star	BILAAN KORONADAL	blotik
352	stone	BILAAN KORONADAL	batu
353	sun	BILAAN KORONADAL	
354	tongue	BILAAN KORONADAL	diloʔ
355	tooth	BILAAN KORONADAL	kifan
356	tree	BILAAN KORONADAL	kaju
357	two	BILAAN KORONADAL	lwə
358	water	BILAAN KORONADAL	eʔel
359	we	BILAAN KORONADAL	ato
360	you	BILAAN KORONADAL	gə
361	I	BILAAN SARANGANI	agu
362	blood	BILAAN SARANGANI	litəʔ
363	bone	BILAAN SARANGANI	tulan
364	breast	BILAAN SARANGANI	tutuʔ
365	come	BILAAN SARANGANI	
366	die	BILAAN SARANGANI	
367	dog	BILAAN SARANGANI	ajəm
368	drink	BILAAN SARANGANI	minum
369	ear	BILAAN SARANGANI	kliŋə
370	eye	BILAAN SARANGANI	mata
371	fire	BILAAN SARANGANI	lifo
372	fish	BILAAN SARANGANI	nalaf
373	full	BILAAN SARANGANI	fnoʔ
374	hand	BILAAN SARANGANI	sigal
375	hear	BILAAN SARANGANI	liŋə
376	horn	BILAAN SARANGANI	
377	knee	BILAAN SARANGANI	bukal
378	leaf	BILAAN SARANGANI	doʔon
379	liver	BILAAN SARANGANI	ataj
380	louse	BILAAN SARANGANI	kutu
381	mountain	BILAAN SARANGANI	bulul
382	name	BILAAN SARANGANI	dagit
383	new	BILAAN SARANGANI	falami
384	night	BILAAN SARANGANI	butaŋ
385	nose	BILAAN SARANGANI	iluŋ
386	one	BILAAN SARANGANI	satu
387	path	BILAAN SARANGANI	dalan
388	person	BILAAN SARANGANI	to
389	see	BILAAN SARANGANI	təʔən
390	skin	BILAAN SARANGANI	kindal
391	star	BILAAN SARANGANI	blatik
392	stone	BILAAN SARANGANI	batu
393	sun	BILAAN SARANGANI	
394	tongue	BILAAN SARANGANI	dilaʔ
395	tooth	BILAAN SARANGANI	kifan
396	tree	BILAAN SARANGANI	kajo
397	two	BILAAN SARANGANI	lwə
398	water	BILAAN SARANGANI	jeʔel
399	we	BILAAN SARANGANI	ito
400	you	BILAAN SARANGANI	gə
401	I	BINUKID	siʔak
402	blood	BINUKID	laŋəsa
403	bone	BINUKID	tulʔan
404	breast	BINUKID	susu
405	come	BINUKID	
406	die	BINUKID	
407	dog	BINUKID	asu
408	drink	BINUKID	inum
409	ear	BINUKID	taliŋa
410	eye	BINUKID	mata
411	fire	BINUKID	hapuj
412	fish	BINUKID	sədaʔ
413	full	BINUKID	punuʔ
414	hand	BINUKID	alima
415	hear	BINUKID	paliman
416	horn	BINUKID	
417	knee	BINUKID	buʔəl
418	leaf	BINUKID	dahun
419	liver	BINUKID	ataj
420	louse	BINUKID	tuma
421	mountain	BINUKID	bubuŋan
422	name	BINUKID	ŋadan
423	new	BINUKID	bagʔu
424	night	BINUKID	daləman
425	nose	BINUKID	iduŋ
426	one	BINUKID	sabuwa
427	path	BINUKID	dalan
428	person	BINUKID	ətaw
429	see	BINUKID	ahaʔ
430	skin	BINUKID	laŋgit
431	star	BINUKID	bituʔən
432	stone	BINUKID	batu
433	sun	BINUKID	
434	tongue	BINUKID	dilaʔ
435	tooth	BINUKID	ŋipən
436	tree	BINUKID	kaju
437	two	BINUKID	daduwa
438	water	BINUKID	wahig
439	we	BINUKID	sikuj
440	you	BINUKID	sikaw
441	I	BONGGI	ou
442	blood	BONGGI	rah
443	bone	BONGGI	tulagn
444	breast	BONGGI	dudu
445	come	BONGGI	miataŋ
446	die	BONGGI	mati
447	dog	BONGGI	asu
448	drink	BONGGI	eŋinum
449	ear	BONGGI	
450	eye	BONGGI	mata
451	fire	BONGGI	afi
452	fish	BONGGI	sadak
453	full	BONGGI	
454	hand	BONGGI	fi
455	hear	BONGGI	kidoŋor
456	horn	BONGGI	
457	knee	BONGGI	
458	leaf	BONGGI	doudn
459	liver	BONGGI	ati
460	louse	BONGGI	
