ID	Concept	Language	form
845	drink	BATAK PALAWAN	inum
847	ear	BATAK PALAWAN	taliŋa
851	eye	BATAK PALAWAN	mata
853	fire	BATAK PALAWAN	apuj
854	fish	BATAK PALAWAN	sədaʔ
858	full	BATAK PALAWAN	pəgpəg
863	hand	BATAK PALAWAN	alima
865	hear	BATAK PALAWAN	batiʔ
869	knee	BATAK PALAWAN	tuud
871	leaf	BATAK PALAWAN	daun
873	liver	BATAK PALAWAN	ataj
875	louse	BATAK PALAWAN	kutu
878	mountain	BATAK PALAWAN	bulud
880	name	BATAK PALAWAN	ŋaran
882	new	BATAK PALAWAN	baʔgu
883	night	BATAK PALAWAN	dələm
884	nose	BATAK PALAWAN	uruŋ
886	one	BATAK PALAWAN	əsa
887	path	BATAK PALAWAN	dalan
888	person	BATAK PALAWAN	taw
894	see	BATAK PALAWAN	ləʔgan
896	skin	BATAK PALAWAN	kulit
901	star	BATAK PALAWAN	panakunun
902	stone	BATAK PALAWAN	batu
908	tongue	BATAK PALAWAN	dilaʔ
909	tooth	BATAK PALAWAN	nipən
910	tree	BATAK PALAWAN	kaju
911	two	BATAK PALAWAN	dua
913	water	BATAK PALAWAN	danum
914	we	BATAK PALAWAN	kitami
920	you	BATAK PALAWAN	ikaw
921	I	BILAAN KORONADAL	agu
928	blood	BILAAN KORONADAL	litəʔ
929	bone	BILAAN KORONADAL	tulon
930	breast	BILAAN KORONADAL	tutuʔ
936	dog	BILAAN KORONADAL	ajəm
937	drink	BILAAN KORONADAL	inum
939	ear	BILAAN KORONADAL	kliŋə
943	eye	BILAAN KORONADAL	mato
945	fire	BILAAN KORONADAL	lifoh
946	fish	BILAAN KORONADAL	nalaf
950	full	BILAAN KORONADAL	fnoʔ
955	hand	BILAAN KORONADAL	sigal
957	hear	BILAAN KORONADAL	liŋə
961	knee	BILAAN KORONADAL	bukal
963	leaf	BILAAN KORONADAL	doʔon
965	liver	BILAAN KORONADAL	atoj
967	louse	BILAAN KORONADAL	kutuʔ
970	mountain	BILAAN KORONADAL	bulul
972	name	BILAAN KORONADAL	dagit
974	new	BILAAN KORONADAL	falami
975	night	BILAAN KORONADAL	butaŋ
976	nose	BILAAN KORONADAL	iluŋ
978	one	BILAAN KORONADAL	satu
979	path	BILAAN KORONADAL	dalon
980	person	BILAAN KORONADAL	to
986	see	BILAAN KORONADAL	təʔən
988	skin	BILAAN KORONADAL	kulit
993	star	BILAAN KORONADAL	blotik
994	stone	BILAAN KORONADAL	batu
1000	tongue	BILAAN KORONADAL	diloʔ
1001	tooth	BILAAN KORONADAL	kifan
1002	tree	BILAAN KORONADAL	kaju
1003	two	BILAAN KORONADAL	lwə
1005	water	BILAAN KORONADAL	eʔel
1006	we	BILAAN KORONADAL	ato
1012	you	BILAAN KORONADAL	gə
1013	I	BILAAN SARANGANI	agu
1020	blood	BILAAN SARANGANI	litəʔ
1021	bone	BILAAN SARANGANI	tulan
1022	breast	BILAAN SARANGANI	tutuʔ
1028	dog	BILAAN SARANGANI	ajəm
1029	drink	BILAAN SARANGANI	minum
1031	ear	BILAAN SARANGANI	kliŋə
1035	eye	BILAAN SARANGANI	mata
1037	fire	BILAAN SARANGANI	lifo
1038	fish	BILAAN SARANGANI	nalaf
1042	full	BILAAN SARANGANI	fnoʔ
1047	hand	BILAAN SARANGANI	sigal
1049	hear	BILAAN SARANGANI	liŋə
1053	knee	BILAAN SARANGANI	bukal
1055	leaf	BILAAN SARANGANI	doʔon
1057	liver	BILAAN SARANGANI	ataj
1059	louse	BILAAN SARANGANI	kutu
1062	mountain	BILAAN SARANGANI	bulul
1064	name	BILAAN SARANGANI	dagit
1066	new	BILAAN SARANGANI	falami
1067	night	BILAAN SARANGANI	butaŋ
1068	nose	BILAAN SARANGANI	iluŋ
1070	one	BILAAN SARANGANI	satu
1071	path	BILAAN SARANGANI	dalan
1072	person	BILAAN SARANGANI	to
1078	see	BILAAN SARANGANI	təʔən
1080	skin	BILAAN SARANGANI	kindal
1085	star	BILAAN SARANGANI	blatik
1086	stone	BILAAN SARANGANI	batu
1092	tongue	BILAAN SARANGANI	dilaʔ
1093	tooth	BILAAN SARANGANI	kifan
1094	tree	BILAAN SARANGANI	kajo
1095	two	BILAAN SARANGANI	lwə
1097	water	BILAAN SARANGANI	jeʔel
1098	we	BILAAN SARANGANI	ito
1104	you	BILAAN SARANGANI	gə
1105	I	BONGGI	ou
1112	blood	BONGGI	rah
1113	bone	BONGGI	tulagn
1114	breast	BONGGI	dudu
1118	come	BONGGI	miataŋ
1119	die	BONGGI	mati
1120	dog	BONGGI	asu
1121	drink	BONGGI	eŋinum
1127	eye	BONGGI	mata
1129	fire	BONGGI	afi
1130	fish	BONGGI	sadak
1139	hand	BONGGI	fi
1141	hear	BONGGI	kidoŋor
1147	leaf	BONGGI	doudn
1149	liver	BONGGI	ati
1156	name	BONGGI	eŋardn
1158	new	BONGGI	baru
1159	night	BONGGI	raobi
1160	nose	BONGGI	iduŋ
1162	one	BONGGI	isa
1164	person	BONGGI	lama
1172	skin	BONGGI	kubal
1177	star	BONGGI	bitudn
1178	stone	BONGGI	batu
1184	tongue	BONGGI	dila
1185	tooth	BONGGI	kuhud
1187	two	BONGGI	dua
1189	water	BONGGI	beig
1190	we	BONGGI	sesia
1197	I	BONTOC GUINAANG	sakʔən
1204	blood	BONTOC GUINAANG	dala
1205	bone	BONTOC GUINAANG	toŋʔal
1206	breast	BONTOC GUINAANG	soso
1212	dog	BONTOC GUINAANG	aso
1213	drink	BONTOC GUINAANG	inom
1215	ear	BONTOC GUINAANG	koləŋ
1219	eye	BONTOC GUINAANG	mata
1221	fire	BONTOC GUINAANG	apoj
1222	fish	BONTOC GUINAANG	gadəw
1226	full	BONTOC GUINAANG	napno
1231	hand	BONTOC GUINAANG	lima
1233	hear	BONTOC GUINAANG	dəŋəl
1237	knee	BONTOC GUINAANG	powəg
1239	leaf	BONTOC GUINAANG	tobo
1241	liver	BONTOC GUINAANG	agtəj
1243	louse	BONTOC GUINAANG	koto
1246	mountain	BONTOC GUINAANG	bilig
1248	name	BONTOC GUINAANG	ŋadan
1250	new	BONTOC GUINAANG	balo
1251	night	BONTOC GUINAANG	labi
1252	nose	BONTOC GUINAANG	əŋəl
1254	one	BONTOC GUINAANG	əsa
1255	path	BONTOC GUINAANG	dalan
1256	person	BONTOC GUINAANG	ipogaw
1262	see	BONTOC GUINAANG	ila
1264	skin	BONTOC GUINAANG	kopkop
1269	star	BONTOC GUINAANG	talaw
1270	stone	BONTOC GUINAANG	bato
1276	tongue	BONTOC GUINAANG	dila
1277	tooth	BONTOC GUINAANG	babʔa
1278	tree	BONTOC GUINAANG	kaʔəw
1279	two	BONTOC GUINAANG	dowa
1281	water	BONTOC GUINAANG	danom
