ID	CONCEPT	DOCULECT	FORM	TOKENS
843	bone	CEBUANO	bukug	b u k u g
883	bone	CENTRAL BICOLANO	tulaŋ	t u l a ŋ
923	bone	CENTRAL BONTOC	tuŋʔal	t u ŋ ʔ a l
963	bone	CENTRAL DUSUN	tulaŋ	t u l a ŋ
1003	bone	CENTRAL TAGBANWA	duhi	d u h i
1043	bone	CUYONON	tulan	t u l a n
1083	bone	DARAGA	tuʔlaŋ	t u ʔ l a ŋ
1123	bone	DUMAGAT CASIGURAN	tulaŋ	t u l a ŋ
1163	bone	DUPANINGAN AGTA	tulaŋ	t u l a ŋ
1203	bone	ENGLISH	bon	b o n
1243	bone	ESKAYAN	giro	g i r o
1283	bone	ESTONIAN	kont	k o n t
1323	bone	FINNISH	luu	l uu
1363	bone	FUZHOU CHINESE	kouk	k o u k
1403	bone	GADDANG	tulaŋ	t u l a ŋ
1443	bone	HANUNOO	butʔul	b u t ʔ u l
1483	bone	HIGAONON BINUKID	tulʔan	t u l ʔ a n
1523	bone	HUNGARIAN	Cont	c o n t
1563	bone	IBALOI	pohfel	p o h f e l
1603	bone	IBANAG	tulaŋ	t u l a ŋ
1643	bone	IDAAN	tulaŋ	t u l a ŋ
1683	bone	IFUGAO AMGANAD	tuŋal	t u ŋ a l
1723	bone	IFUGAO BATAD	toŋal	t o ŋ a l
1763	bone	IFUGAO BAYNINAN	tuŋal	t u ŋ a l
1803	bone	ILOKANO	tulaŋ	t u l a ŋ
1843	bone	ILONGOT KAKIDUGEN	tuʔlaŋ	t u ʔ l a ŋ
1883	bone	INIBALOI	pokəl	p o k ə l
1923	bone	IRANUN	tulan	t u l a n
1963	bone	IRIGA	tulaŋ	t u l a ŋ
2003	bone	ISNAG	tulaŋ	t u l a ŋ
2043	bone	ISNEG	tulaŋ	t u l a ŋ
2083	bone	ITAWIT	tulEŋ	t u l æ ŋ
2123	bone	ITBAYATEN BATANES ISLANDS	tuʔgaŋ	t u ʔ g a ŋ
2163	bone	ITNEG BINONGAN	tolʔaŋ	t o l ʔ a ŋ
2203	bone	IVATAN BATANES ISLANDS	toʔhaŋ	t o ʔh a ŋ
2243	bone	JAPANESE	hone	h o n e
2283	bone	KADAZAN	tuhaŋ	t u h a ŋ
2323	bone	KAGAYANEN	bəkəg	b ə k ə g
2363	bone	KALAGAN	pisaʔ	p i s a ʔ
2403	bone	KALINGA GUINAANG	tuŋʔal	t u ŋ ʔ a l
2443	bone	KALINGA LIMOS	tulʔaŋ	t u l ʔ a ŋ
2483	bone	KALLAHAN KAYAPA PROPER	pukil	p u k i l
2523	bone	KALLAHAN KELEYQIQ IFUGAO	tuʔŋal	t u ʔ ŋ a l
2563	bone	KANKANAY NORTHERN	iŋit	i ŋ i t
2603	bone	KAPAMPANGAN	binjas	b i n j a s
2643	bone	KINARAY A	tulʔan	t u l ʔ a n
2683	bone	KOREAN	bjo	b j o
2723	bone	LEGAZPI	tuʔlaŋ	t u ʔ l a ŋ
2763	bone	LIBON	tulaŋ	t u l a ŋ
2803	bone	LIVE	lju	l j u
2843	bone	MAGUINDANAO	tulan	t u l a n
2883	bone	MAMANWA	bəkəg	b ə k ə g
2923	bone	MANOBO ATA	bokog	b o k o g
2963	bone	MANOBO DIBABAWON	bəkəg	b ə k ə g
3003	bone	MANOBO ILIANEN	tulan	t u l a n
3043	bone	MANOBO KALAMANSIG COTABATO	tuʔəlan	t u ʔ ə l a n
3083	bone	MANOBO SARANGANI	toʔlan	t o ʔ l a n
3123	bone	MANOBO TIGWA	tulʔan	t u l ʔ a n
3163	bone	MANOBO WESTERN BUKIDNON	tulan	t u l a n
3203	bone	MANSAKA	pəsaʔ	p ə s a ʔ
3243	bone	MAPUN	towaŋ	t o w a ŋ
3283	bone	MARANAO	tolan	t o l a n
3323	bone	MARINDUQUE TAGALOG	butʔu	b u t ʔ u
3363	bone	MASBATENYO	tulaŋ	t u l a ŋ
3403	bone	MINANGALI LOWER TANUDAN KALINGA	tuŋa8	t u ŋ a
3443	bone	MOKSHA	pakarj	p a k a r j
3483	bone	MOLBOG	tulaŋ	t u l a ŋ
3523	bone	MOLBOG 2	tuʔlaŋ	t u ʔ l a ŋ
3563	bone	MONGOLIAN	jas	j a s
3603	bone	MORO MAGINDANAU	tulan	t u l a n
3643	bone	NAGA	tuʔlaŋ	t u ʔ l a ŋ
3683	bone	NORTHERN CATANDUANES	tuʔraŋ	t u ʔ r a ŋ
3723	bone	NORTHERN SORSOGON	tulʔaŋ	t u l ʔ a ŋ
3763	bone	OAS	tuʔlaŋ	t u ʔ l a ŋ
3803	bone	PALAWANO BATAK	tulaŋ	t u l a ŋ
3843	bone	PANGASINAN	pokel	p o k e l
3883	bone	PANGUTARAN SAMA	bokog	b o k o g
3923	bone	PANGUTARAN SAMA (1)	bokog	b o k o g
3963	bone	PROTO PALAWAN	tuʔlaŋ	t u ʔ l a ŋ
4003	bone	QUEZON PALAWAN	tuʔlaŋ	t u ʔ l a ŋ
4043	bone	ROMBLOMANON 1	tujʔan	t u j ʔ a n
4083	bone	ROMBLOMANON 2	tujʔan	t u j ʔ a n
4123	bone	SAMAL	koaʔ	k o a ʔ
4163	bone	SAMBAL BOTOLAN	botʔo	b o t ʔ o
4203	bone	SANGIL	duri	d u r i
4243	bone	SANGIL SARANGANI ISLANDS	duri	d u r i
4283	bone	SEDANG	koSiaŋ	k o s i a ŋ
4323	bone	SIBUTU SOUTHERN SAMA	tolaŋ	t o l a ŋ
4363	bone	SOGODNIN BORACAY	tolʔan	t o l ʔ a n
4403	bone	SOUTH SAAMI	moaroə	m o a r o ə
4443	bone	SOUTHERN CATANDUANES	tulʔaŋ	t u l ʔ a ŋ
4483	bone	SOUTHERN SORSOGON	tulʔaŋ	t u l ʔ a ŋ
4523	bone	SOUTHWEST PALAWANO	tulaŋ	t u l a ŋ
4563	bone	SPANISH	weso	w e s o
4603	bone	SUBANON SIOCON	tulan	t u l a n
4643	bone	SUBANUN SINDANGAN	tolan	t o l a n
4683	bone	SURIGAONON	bukog	b u k o g
4723	bone	TAGABAWA	tulan	t u l a n
4763	bone	TAGABILI	tiʔol	t i ʔ o l
4803	bone	TAGALOG	buto	b u t o
4843	bone	TAGBANUA ABORLAN	tuʔlaŋ	t u ʔ l a ŋ
4883	bone	TAGBANWA ABORLAN	tuʔlaŋ	t u ʔ l a ŋ
4923	bone	TAGBANWA KALAMIAN	duliʔ	d u l i ʔ
4963	bone	TALAANDIG BINUKID	tulʔan	t u l ʔ a n
5003	bone	TAMBUNAN DUSUN	tulaŋ	t u l a ŋ
