language,similiarity_to_spanish,similiarity_to_english,similiarity_to_japanese,Unrelated_Mean,Unrelated_Std_dev,Unrelated_Distribution,zscore_span,zscore_eng,zscore_jap,longitude,latitude
GADDANG,2.777777778,2.777777778,9.090909091,3.461538462,3.15212586,,0,0,1.785896528,121.42,17.17
HANUNOO,2.941176471,5.882352941,3.225806452,3.653846154,2.816503561,,0,0.79123166,0,121.25,12.33
HIGAONON BINUKID,5.128205128,5.128205128,8.333333333,2.884615385,2.670470044,,0.840147879,0.840147879,2.040359135,125.07,8.61
IBALOI,3.125,3.125,6.666666667,2.5,2.886751346,,0.216506351,0.216506351,1.443375673,120.67,16.42
IBANAG,2.941176471,2.941176471,3.225806452,3.076923077,2.31702174,,0,0,0.064256356,121.67,17.5
IDAAN,2.941176471,2.941176471,6.451612903,2.884615385,3.035579613,,0.018632714,0.018632714,1.175063076,118.83,5.25
IFUGAO AMGANAD,2.777777778,2.777777778,6.060606061,2.115384615,3.36126121,,0.197066851,0.197066851,1.173732477,121,16.83
IFUGAO BATAD,5.714285714,2.857142857,6.25,1.923076923,3.252218178,,1.165730152,0.287208878,1.330452891,121.08,16.83
IFUGAO BAYNINAN,2.777777778,2.777777778,6.060606061,2.115384615,3.36126121,,0.197066851,0.197066851,1.173732477,121,16.67
ILOKANO,2.941176471,2.941176471,3.225806452,2.5,2.886751346,,0.152828012,0.152828012,0.25142673,121,16
ILONGOT KAKIDUGEN,0,2.857142857,12.5,3.076923077,2.72982107,,0,0,3.451902773,121.42,16.33
INIBALOI,2.777777778,2.777777778,6.060606061,3.076923077,2.72982107,,0,0,1.092995807,120.67,16.42
IRANUN,2.941176471,5.882352941,6.451612903,2.692307692,2.155791246,,0.115441965,1.479756101,1.743816901,116.43,6.35
IRIGA,2.5,2.5,8.108108108,3.461538462,3.15212586,,0,0,1.474106636,123.33,13.33
ISNAG,2.5,2.5,5.405405405,3.461538462,2.802242692,,0,0,0.693682581,121,18.25
ISNEG,2.777777778,2.777777778,6.060606061,3.269230769,2.773500981,,0,0,1.006444674,121,18.25
ITAWIT,2.941176471,2.941176471,6.451612903,3.461538462,2.401922307,,0,0,1.24486726,121.5,17.75
ITBAYATEN BATANES ISLANDS,2.777777778,2.777777778,9.090909091,2.692307692,2.787908875,,0.030657417,0.030657417,2.295125732,121.83,20.33
ITNEG BINONGAN,2.857142857,2.857142857,12.5,3.269230769,2.955329822,,0,0,3.123431152,120.97,17.67
IVATAN BATANES ISLANDS,5.555555556,0,12.12121212,1.538461538,2.401922307,,1.672449606,0,4.405950414,121.83,20.33
KADAZAN,2.5,5,10.81081081,2.692307692,2.594372608,,0,0.88949918,3.129274142,117.17,5.92
KAGAYANEN,2.5,2.5,5.405405405,3.269230769,3.443686159,,0,0,0.620316294,119.83,10.5
KALAGAN,5.555555556,2.777777778,3.03030303,3.076923077,3.08792105,,0.80268648,0,0,125.42,6.42
KALINGA GUINAANG,2.777777778,2.777777778,12.12121212,3.461538462,3.755338081,,0,0,2.305963797,121.08,17.42
KALINGA LIMOS,2.5,2.5,10.81081081,3.846153846,3.765991544,,0,0,1.849355444,121,17.5
KALLAHAN KAYAPA PROPER,2.777777778,2.777777778,3.03030303,3.653846154,3.90184046,,0,0,0,120.83,16.33
