language,similiarity_to_spanish,n_span,similiarity_to_english,n_eng,similiarity_to_japanese,n_jap,Unrelated_Mean,Unrelated_Std_dev,Unrelated_Distribution,zscore_span,zscore_eng,zscore_jap,latitude,longitude
MANOBO TIGWA,2.777777778,36,2.777777778,36,9.090909091,33,1.086956522,1.537188655,,1.099943882,1.099943882,5.206877207,7.67,125.08
MANOBO WESTERN BUKIDNON,2.777777778,36,2.777777778,36,9.090909091,33,1.170568562,1.502304629,,1.069829104,1.069829104,5.272126821,7.67,124.83
MANSAKA,8.333333333,36,2.777777778,36,6.060606061,33,1.755852843,1.50733749,,4.363641544,0.677966906,2.855865556,7,126.17
MAPUN,2.941176471,34,2.941176471,34,9.677419355,31,1.337792642,1.007400757,,1.591604749,1.591604749,8.278360582,7,118.5
MARANAO,2.941176471,34,2.941176471,34,6.451612903,31,0.836120401,0.788055491,,2.671202843,2.671202843,7.12575772,7.83,124.3
MASBATENYO,2.941176471,34,2.941176471,34,6.451612903,31,1.003344482,1.037036508,,1.868624657,1.868624657,5.253690086,12.58,123.58
MINANGALI LOWER TANUDAN KALINGA,3.03030303,33,3.03030303,33,10,30,0.919732441,1.161073932,,1.817774502,1.817774502,7.820576543,17.25,121.25
MOLBOG,2.5,40,2.5,40,8.108108108,37,1.337792642,1.414007903,,0.82192423,0.82192423,4.788032266,8,117.33
MORO MAGINDANAU,2.631578947,38,5.263157895,38,8.333333333,36,1.003344482,1.037036508,,1.570084036,4.107679315,7.068207141,6.83,124.5
NORTHERN CATANDUANES,2.5,40,5,40,10.81081081,37,1.588628763,1.512353602,,0.602617825,2.255670389,6.097900675,13.92,124.25
