ID	CONCEPT	DOCULECT	FORM	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGNATES
1724	breast	IFUGAO BATAD	huhu	h u h u	3 7 3 7	AXBZ	HYHY	48	48.H.C 48.Y.V 48.H.C 48.Y.V	2.0 1.5 1.75 0.8	huhu	0	471
1764	breast	IFUGAO BAYNINAN	palagpag	p a l a g p a g	1 7 5 7 1 1 7 1	AXBYMBYN	PALAKPAK	49	49.P.C 49.A.V 49.L.C 49.A.V 49.K.c 49.P.C 49.A.V 49.K.c	2.0 1.5 1.75 1.3 1.1 1.75 1.3 0.8	palagpag	0	474
1804	breast	ILOKANO	suso	s u s o	3 7 3 7	AXBZ	SYSU	50	50.S.C 50.Y.V 50.S.C 50.U.V	2.0 1.5 1.75 0.8	suso	0	471
1844	breast	ILONGOT KAKIDUGEN	tutu	t u t u	1 7 1 7	AXBZ	TYTY	51	51.T.C 51.Y.V 51.T.C 51.Y.V	2.0 1.5 1.75 0.8	tutu	0	437
1884	breast	INIBALOI	soso	s o s o	3 7 3 7	AXBZ	SUSU	54	54.S.C 54.U.V 54.S.C 54.U.V	2.0 1.5 1.75 0.8	soso	0	471
1924	breast	IRANUN	susu	s u s u	3 7 3 7	AXBZ	SYSY	55	55.S.C 55.Y.V 55.S.C 55.Y.V	2.0 1.5 1.75 0.8	susu	0	471
1964	breast	IRIGA	susu	s u s u	3 7 3 7	AXBZ	SYSY	57	57.S.C 57.Y.V 57.S.C 57.Y.V	2.0 1.5 1.75 0.8	susu	0	471
2004	breast	ISNAG	gatat	g a t a t	1 7 1 7 1	AXBYN	KATAT	59	59.K.C 59.A.V 59.T.C 59.A.V 59.T.c	2.0 1.5 1.75 1.3 0.8	gatat	0	459
2044	breast	ISNEG	gatat	g a t a t	1 7 1 7 1	AXBYN	KATAT	60	60.K.C 60.A.V 60.T.C 60.A.V 60.T.c	2.0 1.5 1.75 1.3 0.8	gatat	0	459
2084	breast	ITAWIT	susu	s u s u	3 7 3 7	AXBZ	SYSY	61	61.S.C 61.Y.V 61.S.C 61.Y.V	2.0 1.5 1.75 0.8	susu	0	471
