ID,CONCEPT,DOCULECT,FORM,TOKENS,SONARS,PROSTRINGS,CLASSES,LANGID,NUMBERS,WEIGHTS,IPA,DUPLICATES,COGID
7361,I,OAS,ʔaku,ʔ a k u,1 7 1 7,AXBZ,HAKY,92.0,92.H.C 92.A.V 92.K.C 92.Y.V,2.0 1.5 1.75 0.8,ʔaku,0.0,66.0
7453,I,PALAWANO BATAK,aku,a k u,7 1 7,XBZ,AKY,93.0,93.A.V 93.K.C 93.Y.V,1.5 1.75 0.8,aku,0.0,66.0
7545,I,PANGASINAN,siak,s i a k,3 7 7 1,AXYN,SIAK,94.0,94.S.C 94.I.V 94.A.V 94.K.c,2.0 1.5 1.3 0.8,siak,0.0,39.0
7637,I,PANGUTARAN SAMA,aku,a k u,7 1 7,XBZ,AKY,95.0,95.A.V 95.K.C 95.Y.V,1.5 1.75 0.8,aku,0.0,66.0
7729,I,PROTO PALAWAN,ʔaku,ʔ a k u,1 7 1 7,AXBZ,HAKY,96.0,96.H.C 96.A.V 96.K.C 96.Y.V,2.0 1.5 1.75 0.8,ʔaku,0.0,66.0
7821,I,QUEZON PALAWAN,aku,a k u,7 1 7,XBZ,AKY,97.0,97.A.V 97.K.C 97.Y.V,1.5 1.75 0.8,aku,0.0,66.0
7913,I,ROMBLOMANON 2,ʔaku,ʔ a k u,1 7 1 7,AXBZ,HAKY,98.0,98.H.C 98.A.V 98.K.C 98.Y.V,2.0 1.5 1.75 0.8,ʔaku,0.0,66.0
8005,I,SAMAL,aku,a k u,7 1 7,XBZ,AKY,99.0,99.A.V 99.K.C 99.Y.V,1.5 1.75 0.8,aku,0.0,66.0
8097,I,SAMBAL BOTOLAN,hiko,h i k o,3 7 1 7,AXBZ,HIKU,100.0,100.H.C 100.I.V 100.K.C 100.U.V,2.0 1.5 1.75 0.8,hiko,0.0,66.0
8189,I,SANGIL SARANGANI ISLANDS,iaʔ,i a ʔ,7 7 1,XYN,IAH,101.0,101.I.V 101.A.V 101.H.c,1.5 1.3 0.8,iaʔ,0.0,44.0
8281,I,SEDANG,a,a,7,X,A,102.0,102.A.V,1.5,a,0.0,25.0
8373,I,SIBUTU SOUTHERN SAMA,aku,a k u,7 1 7,XBZ,AKY,103.0,103.A.V 103.K.C 103.Y.V,1.5 1.75 0.8,aku,0.0,66.0
8465,I,SOGODNIN BORACAY,ak,a k,7 1,XN,AK,105.0,105.A.V 105.K.c,1.5 0.8,ak,0.0,66.0
8557,I,SOUTH SAAMI,manə,m a n ə,4 7 4 7,AXBZ,MANE,106.0,106.M.C 106.A.V 106.N.C 106.E.V,2.0 1.5 1.75 0.8,manə,0.0,27.0
8649,I,SOUTHERN CATANDUANES,ʔaku,ʔ a k u,1 7 1 7,AXBZ,HAKY,107.0,107.H.C 107.A.V 107.K.C 107.Y.V,2.0 1.5 1.75 0.8,ʔaku,0.0,66.0
8741,I,SOUTHERN SORSOGON,ʔaku,ʔ a k u,1 7 1 7,AXBZ,HAKY,109.0,109.H.C 109.A.V 109.K.C 109.Y.V,2.0 1.5 1.75 0.8,ʔaku,0.0,66.0
8833,I,SOUTHWEST PALAWANO,ako,a k o,7 1 7,XBZ,AKU,110.0,110.A.V 110.K.C 110.U.V,1.5 1.75 0.8,ako,0.0,66.0
8925,I,SPANISH,jo,j o,6 7,AX,JU,111.0,111.J.C 111.U.V,2.0 1.5,jo,0.0,77.0
9017,I,SUBANON SIOCON,akon,a k o n,7 1 7 4,XBYN,AKUN,112.0,112.A.V 112.K.C 112.U.V 112.N.c,1.5 1.75 1.3 0.8,akon,0.0,66.0
9109,I,SUBANUN SINDANGAN,inan,i n a n,7 4 7 4,XBYN,INAN,113.0,113.I.V 113.N.C 113.A.V 113.N.c,1.5 1.75 1.3 0.8,inan,0.0,27.0
9201,I,SURIGAONON,ako,a k o,7 1 7,XBZ,AKU,114.0,114.A.V 114.K.C 114.U.V,1.5 1.75 0.8,ako,0.0,66.0
9293,I,TAGABAWA,a,a,7,X,A,115.0,115.A.V,1.5,a,0.0,25.0
9385,I,TAGABILI,oʔuh,o ʔ u h,7 1 7 3,XBYN,UHYH,116.0,116.U.V 116.H.C 116.Y.V 116.H.c,1.5 1.75 1.3 0.8,oʔuh,0.0,34.0
9477,I,TAGALOG,ako,a k o,7 1 7,XBZ,AKU,117.0,117.A.V 117.K.C 117.U.V,1.5 1.75 0.8,ako,0.0,66.0
9569,I,TAGBANWA ABORLAN,aku,a k u,7 1 7,XBZ,AKY,118.0,118.A.V 118.K.C 118.Y.V,1.5 1.75 0.8,aku,0.0,66.0
9661,I,TAGBANWA KALAMIAN,juu,j uu,6 7,AX,JY,119.0,119.J.C 119.Y.V,2.0 1.5,juu,0.0,77.0
9753,I,TAUSUG,akuh,a k u h,7 1 7 3,XBYN,AKYH,120.0,120.A.V 120.K.C 120.Y.V 120.H.c,1.5 1.75 1.3 0.8,akuh,0.0,66.0
