"population","model_region","island_group","region","province","precision_tier","latitude","longitude","model","balangao_admx","aytamagbukon_admx","span_admx","eastasian_admx","atamanobo_admx","balangao_se","aytamagbukon_se","span_se","eastasian_se","atamanobo_se","malder_span_se","malder_eastasian_se","malder_joint_ceu_eas_se","effblocks","qpadm_pval","malder_span","malder_eastasian","malder_joint_ceu_eas","malder_span_years","malder_eastasian_years","malder_joint_ceu_eas_years","malder_span_se_years","malder_eastasian_se_years","malder_joint_ceu_eas_se_years","span_se_capped","span_w","span_w_capped","nearest_node","geodist_H1_span","geodist_H2_span","using_network"
"Palawano","mindanao_sulu","Palawan","Mimaropa","Palawan","B",8.7833,117.8333,"5-source",0.073,0,0.056,0.119,1.08,14.978,17.081,2.662,0.883,29.921,NA,NA,NA,499.6,0.0038198086,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.701800000000001,2.03036104448594,TRUE,"26",227.231956103859,1335.59420584996,FALSE
"Tagbanwa","non_mindanao","Palawan","Mimaropa","Palawan","B",9.4333,118.55,"4-source",0.652,0.343,0,0.033,NA,0.048,0.021,0.014,0.048,NA,NA,NA,NA,499.591,0.000386139419,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014,5102.04081632653,FALSE,"25",280.044798867937,1351.23434495381,FALSE
"Molbog","mindanao_sulu","Palawan","Mimaropa","Palawan","B",7.9861,117.0639,"5-source",0.174,0,0.021,0.144,0.796,4.549,5.046,0.72,0.353,8.787,NA,NA,NA,499.597,0.064549222,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.701800000000001,2.03036104448594,TRUE,"26",151.088758153126,1398.92006115281,FALSE
"SamaDilautTaluksangay","mindanao_sulu","Mindanao","Zamboanga Peninsula","Zamboanga City","A",6.9667,122.15,"5-source",0,0,0.083,0.181,1.117,7.116,7.677,1.041,0.476,13.922,8.42,NA,NA,499.596,0.00117073733,24.09,NA,NA,722.7,NA,NA,252.6,NA,NA,0.701800000000001,2.03036104448594,TRUE,"27",577.105197768215,1848.35450810832,FALSE
"SamaDilautMampang","mindanao_sulu","Mindanao","Zamboanga Peninsula","Zamboanga City","A",6.92,122.1,"5-source",3.348,3.573,0,0.228,-5.744,163.757,198.177,25.063,19.419,356.057,NA,NA,6.34,499.596,0.000269682369,NA,NA,20.03,NA,NA,600.9,NA,NA,190.2,0.701800000000001,2.03036104448594,TRUE,"24",152.174733088712,1818.3679991072,FALSE
"SamaDilautBonggao","mindanao_sulu","Tawi-Tawi","BARMM","Tawi-Tawi","A",5.0292,119.7731,"5-source",0,0,0.076,0.214,0.936,60.723,68.591,8.692,4.154,117.65,NA,NA,NA,499.597,0.00289735384,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.701800000000001,2.03036104448594,TRUE,"24",227.87111305391,1626.4957311539,FALSE
"SamaDeyaBonggao","mindanao_sulu","Tawi-Tawi","BARMM","Tawi-Tawi","A",5.0292,119.7731,"5-source",0.244,0,0.002,0.179,0.605,3.785,3.996,0.517,0.265,7.07,NA,NA,11.29,499.603,0.0409574458,NA,NA,22.74,NA,NA,682.2,NA,NA,338.7,0.517,3.74126881390555,FALSE,"24",227.87111305391,1626.4957311539,FALSE
"SamaKabingaan","mindanao_sulu","Mindanao","Zamboanga Peninsula","Zamboanga City","C",6.9214,122.079,"5-source",0.015,0,0.034,0.176,0.981,23.682,25.658,3.208,1.444,47.313,NA,NA,9.32,499.597,0.00998963188,NA,NA,35.9,NA,NA,1077,NA,NA,279.6,0.701800000000001,2.03036104448594,TRUE,"24",147.24561523651,1807.02125900086,FALSE
"SamaBangingi","mindanao_sulu","Sulu","BARMM","Sulu","C",6.07,121.78,"5-source",0.127,0,0.029,0.123,0.89,0.686,0.725,0.092,0.075,1.314,NA,NA,4.93,499.609,0.33888206,NA,NA,20.57,NA,NA,617.1,NA,NA,147.9,0.092,118.147448015123,FALSE,"24",123.416574269799,1750.07654224924,FALSE
"Yakan","mindanao_sulu","Basilan","BARMM","Basilan","C",6.65,122.1333,"5-source",0,0,0.045,0.134,1.238,4.597,5.08,0.716,0.327,8.732,NA,NA,NA,499.6,0.0273774806,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.701800000000001,2.03036104448594,TRUE,"24",264.35053949749,1872.42140985065,FALSE
"Chavacano","non_mindanao","Mindanao","Zamboanga Peninsula","Zamboanga City","A",6.9214,122.079,"4-source",0.663,0.173,0.053,0.112,NA,0.036,0.017,0.012,0.036,NA,1.68,NA,1.85,499.595,0.0362602804,4.47,NA,5.77,134.1,NA,173.1,50.4,NA,55.5,0.013,5917.15976331361,TRUE,"24",147.24561523651,1807.02125900086,FALSE
"Subanon","mindanao_sulu","Mindanao","Zamboanga Peninsula","Zamboanga City","A",6.9214,122.079,"5-source",0.328,0,0.015,0.068,0.699,5.032,5.662,0.76,0.386,10.083,NA,NA,6.79,499.594,0.42437164,NA,NA,23.77,NA,NA,713.1,NA,NA,203.7,0.701800000000001,2.03036104448594,TRUE,"24",147.24561523651,1807.02125900086,FALSE
"Subanen","mindanao_sulu","Mindanao","Zamboanga Peninsula","Zamboanga del Sur","A",7.8683,123.1206,"5-source",0.343,0,0.014,0.047,0.715,1.018,1.111,0.142,0.114,1.957,NA,NA,NA,499.601,0.384692331,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.142,49.5933346558223,FALSE,"27",284.064821640191,1704.5144717965,TRUE
"Iranun","mindanao_sulu","Mindanao","BARMM","Maguindanao","B",7.3667,124.2667,"5-source",0.294,0,0.003,0.052,0.878,2.186,2.531,0.32,0.153,4.51,NA,NA,NA,499.594,0.0643559003,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32,9.765625,FALSE,"27",591.062970204221,2011.51262036053,TRUE
"Meranao","mindanao_sulu","Mindanao","BARMM","Lanao del Sur","A",8,124.2833,"5-source",0.478,0,0,0,0.72,1.217,1.264,0.17,0.087,2.253,NA,NA,6.58,499.599,0.416743397,NA,NA,15.99,NA,NA,479.7,NA,NA,197.4,0.17,34.6020761245675,FALSE,"37",577.10618896865,1831.5192679591,TRUE
