population,PC1,PC2,longitude,latitude,subgroup,colour,rotPC1,rotPC2,rotLongitude,rotLatitude
Mamanwa,-0.008745863,0.012660580000000001,125.6,9.45,Central Philippine,#565153,-0.03574237050180814,0.027780042387698788,120.85311317561494,12.946801921804374
Mandaya,0.007034354,-0.006995016,126.5,7.65,Central Philippine,#565153,0.022069025482442366,-0.02682116462264817,123.8469148444496,10.119242028379624
Manguangan,0.005801817142857143,-0.005705665714285714,126.05,7.8167,Manobo,#F16DEF,0.018326768589383452,-0.022618741438411503,123.65311957725523,10.336867313635572
MangyanBangon,0.00481295,-0.004138919,121.42,12.8619,South Mangyan,#85DEF2,0.01365049089043113,-0.019112290918707312,123.41095542015941,10.518451190635126
MangyanBuhid,0.004396808,-0.00391209,121.43,12.7458,South Mangyan,#85DEF2,0.013042621019615395,-0.01774623879475271,123.3794764737908,10.58919311026503
MangyanHanunuo,0.004527332222222222,-0.003707221111111111,121.4,12.5225,South Mangyan,#85DEF2,0.012365330193004799,-0.01810478783596457,123.34440251696151,10.570625409214678
MangyanIraya,-0.0034937205000000002,0.004897154,121.0158,13.4297,North Mangyan,#ECBEBD,-0.012660040892204131,0.009297674828676675,122.04844699742145,11.989680200383045
ManoboAgusan,0.006840655555555556,-0.006502846666666667,125.9833,8.1667,Manobo,#F16DEF,0.020570423035409388,-0.026087391639326905,123.76930871800232,10.157240951336119
ManoboDulangan,0.0013339584,1.1296589999999995e-4,124.06,6.62,Manobo,#F16DEF,0.0011613428945356661,-0.007095258054264838,122.76419656793206,11.140761246144075
ManoboIlianen,0.0011648919,6.615726e-4,124.8,7.2,Manobo,#F16DEF,-5.209711870902259e-4,-0.006424646127619504,122.67707681205474,11.175489331687594
ManoboRK,0.007355403333333333,-0.00688821,126.355,8.0367,Manobo,#F16DEF,0.02165183970537837,-0.027803676458730345,123.8253106009553,10.06836199816354
