population	region	model	balangao_admx	aytamagbukon_admx	span_admx	eastasian_admx	atamanobo_admx	balangao_se	aytamagbukon_se	span_se	eastasian_se	atamanobo_se	effblocks	qpadm_pval	malder_span	malder_eastasian	malder_joint_ceu_eas	malder_span_se	malder_eastasian_se	malder_joint_ceu_eas_se	malder_span_years	malder_eastasian_years	malder_joint_ceu_eas_years	malder_span_se_years	malder_eastasian_se_years	malder_joint_ceu_eas_se_years
Mamanwa	mindanao_sulu	5-source	-0.357	0.119	-0.039	0.029	1.248	14.237	16.054	1.801	0.185	28.377	499.599	0.187033197	NA	NA	28.64	NA	NA	12.15	NA	NA	859.2	NA	NA	364.5
Mandaya	mindanao_sulu	5-source	0.404	-0.087	0.002	-0.021	0.702	0.346	0.378	0.051	0.047	0.687	499.601	0.624946905	NA	NA	35.98	NA	NA	7.82	NA	NA	1079.3999999999999	NA	NA	234.60000000000002
Manguangan	non_mindanao	4-source	0.724	0.376	-0.047	-0.053	NA	0.053	0.029	0.018	0.052	NA	499.591	0.00231532145	NA	NA	36.73	NA	NA	15.08	NA	NA	1101.8999999999999	NA	NA	452.4
MangyanBangon	non_mindanao	4-source	0.751	0.249	-0	-0	NA	0.055	0.029	0.018	0.055	NA	499.59	0.542339157	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MangyanBuhid	non_mindanao	4-source	0.766	0.265	-0.004	-0.027	NA	0.057	0.028	0.019	0.059	NA	499.589	0.289665901	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MangyanHanunuo	non_mindanao	4-source	0.731	0.261	-0.023	0.03	NA	0.046	0.023	0.015	0.047	NA	499.591	0.483241083	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MangyanIraya	non_mindanao	4-source	0.666	0.352	-0.006	-0.013	NA	0.05	0.026	0.017	0.052	NA	499.596	0.366944812	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ManoboAgusan	mindanao_sulu	5-source	0.355	-0.029	-0.017	0.045	0.645	0.199	0.209	0.027	0.039	0.374	499.602	0.713948028	NA	NA	64.66	NA	NA	20.92	NA	NA	1939.8	NA	NA	627.6
ManoboDulangan	mindanao_sulu	5-source	-0.144	-0.115	-0.014	0.044	1.23	0.378	0.445	0.059	0.071	0.779	499.6	0.385841256	NA	NA	40.61	NA	NA	11.65	NA	NA	1218.3	NA	NA	349.5
ManoboIlianen	mindanao_sulu	5-source	0.092	0.061	-0.008	0.039	0.816	0.12	0.139	0.022	0.038	0.238	499.6	0.811124219	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ManoboRajahKabunsuwan	mindanao_sulu	5-source	0.385	-0.139	0.012	-0.007	0.749	1.146	1.221	0.158	0.107	2.177	499.599	0.107802031	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ManoboSarangani	mindanao_sulu	5-source	-0.065	-0.293	-0.009	0.022	1.346	1.33	1.407	0.177	0.117	2.472	499.599	0.579416113	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ManoboTagabawa	mindanao_sulu	5-source	0.235	-0.008	-0.029	0.087	0.715	0.368	0.419	0.063	0.055	0.726	499.597	0.534972579	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mansaka	mindanao_sulu	5-source	0.527	-0.143	-0.013	-0.038	0.666	0.671	0.778	0.095	0.094	1.408	499.597	0.546835861	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Meranao	mindanao_sulu	5-source	0.478	-0.162	-0.007	-0.03	0.72	1.217	1.264	0.17	0.087	2.253	499.599	0.416743397	NA	NA	15.99	NA	NA	6.58	NA	NA	479.7	NA	NA	197.4
Molbog	mindanao_sulu	5-source	0.174	-0.135	0.021	0.144	0.796	4.549	5.046	0.72	0.353	8.787	499.597	0.064549222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Obo	mindanao_sulu	5-source	0.01	-0.1	-0.047	0.004	1.134	1.29	1.535	0.231	0.09	2.652	499.597	0.451756702	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OvuManuvo	mindanao_sulu	5-source	0.22	0.117	-0.019	-0.013	0.694	1.334	1.565	0.196	0.202	2.897	499.599	0.660310846	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Palawano	mindanao_sulu	5-source	0.073	-0.328	0.056	0.119	1.08	14.978	17.081	2.662	0.883	29.921	499.6	0.0038198086	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pangasinan	non_mindanao	4-source	0.791	0.114	0.009	0.087	NA	0.039	0.019	0.013	0.038	NA	499.586	0.56036431	NA	NA	14.12	NA	NA	5.91	NA	NA	423.59999999999997	NA	NA	177.3
SamaBangingi	mindanao_sulu	5-source	0.127	-0.17	0.029	0.123	0.89	0.686	0.725	0.092	0.075	1.314	499.609	0.33888206	NA	NA	20.57	NA	NA	4.93	NA	NA	617.1	NA	NA	147.89999999999998
SamaDeyaBonggao	mindanao_sulu	5-source	0.244	-0.03	0.002	0.179	0.605	3.785	3.996	0.517	0.265	7.07	499.603	0.0409574458	NA	NA	22.74	NA	NA	11.29	NA	NA	682.1999999999999	NA	NA	338.7
SamaDilautBonggao	mindanao_sulu	5-source	-0.06	-0.165	0.076	0.214	0.936	60.723	68.591	8.692	4.154	117.65	499.597	0.00289735384	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SamaDilautMampang	mindanao_sulu	5-source	3.348	3.573	-0.404	0.228	-5.744	163.757	198.177	25.063	19.419	356.057	499.596	2.69682369e-4	NA	NA	20.03	NA	NA	6.34	NA	NA	600.9000000000001	NA	NA	190.2
SamaDilautTaluksangay	mindanao_sulu	5-source	-0.094	-0.288	0.083	0.181	1.117	7.116	7.677	1.041	0.476	13.922	499.596	0.00117073733	24.09	NA	NA	8.42	NA	NA	722.7	NA	NA	252.6	NA	NA
SamaKabingaan	mindanao_sulu	5-source	0.015	-0.205	0.034	0.176	0.981	23.682	25.658	3.208	1.444	47.313	499.597	0.00998963188	NA	NA	35.9	NA	NA	9.32	NA	NA	1077	NA	NA	279.6
Sambal	non_mindanao	4-source	0.82	0.132	0.011	0.038	NA	0.044	0.021	0.014	0.043	NA	499.593	0.478743133	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sangil	mindanao_sulu	5-source	-0.369	-0.446	-0.055	0.042	1.827	0.227	0.245	0.039	0.074	0.43	499.601	0.405893526	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Subanen	mindanao_sulu	5-source	0.343	-0.119	0.014	0.047	0.715	1.018	1.111	0.142	0.114	1.957	499.601	0.384692331	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
