glottocode,language,subgroup,cog_PC1,cog_PC2,colour,gen_PC1,gen_PC2,populations,n_populations,gen_rot1,gen_rot2,cog_std1,cog_std2,residual
mans1262,Mansaka,Central Philippine,-3.46108816034113,-0.1016683804693376,#565153,-0.01724772,-1.2538620000000008e-4,Mansaka,1,-0.042682594910214824,0.055339168810992136,-0.09305211407093437,0.01502500572924243,0.06451604610842177
mara1404,Maranao,Danaw,-0.9240147047723818,-2.6741225445652312,#C573F1,-0.01545801,0.0029550946,Meranao,1,-0.04885170539977613,0.046168314648861015,-0.016431476049507374,-0.06266414390939838,0.1135586866204399
mati1250,"Manobo, Tigwa, Iglogsad Dialect",Manobo,-1.8913620884335136,-6.115416955983284,#F16DEF,0.00302880325,0.021069625,BukdinonMatigsalug; DavaoMatigsalug,2,-0.07433220819688148,-0.029978954112567152,-0.04564575581810732,-0.1665926182086627,0.13959300042566783
pamp1243,Kapampangan,Central Luzon,0.767890819075446,0.7355882494402979,#477C65,-0.01181126,0.0012273624,Kapampangan,1,-0.03908598710474371,0.03833504805937531,0.034664750756482496,0.04031049245038467,0.07377718967009571
pang1290,Pangasinan,Meso-Cordilleran,3.6046406513268905,0.7801044114789706,#EA7B81,-0.01302803,-0.0032095839,Pangasinan,1,-0.0283549370318686,0.04774640630805048,0.12033573579524894,0.04165489843523374,0.14881539790608195
remo1247,Sinauna,Central Luzon,0.16235401318319273,-1.1806676194111023,#477C65,0.02847488888888889,-0.00710734666666666,AgtaRemontado,1,0.038795414297162156,-0.0627785265693923,0.016377295850088992,-0.01756120494230426,0.05046957707207903
sang1337,"Sangil, Saragani Islands",Sangiric,0.2292444889300252,-2.7945371957606344,#A852A0,-0.008706611,0.007830944,Sangil,1,-0.053303041286855764,0.02071799215259259,0.018397415101279593,-0.06630071477078525,0.11275287491183375
sara1326,"Bilaan, Sarangani; Sarangani Blaan",Tboli-Blaan,-1.241416785009075,-6.061186894684953,#5C7193,-0.00965845,0.00706408,BlaanSarangani,1,-0.05245378387340152,0.02441380268321783,-0.026017146438231598,-0.1649548485621044,0.1912050780532544
sara1327,"Manobo, Sarangani, Kayaponga Dialect",Manobo,-1.683831783972512,-4.95020689444692,#F16DEF,-0.00721982875,0.0109941025,ManoboSarangani,1,-0.06011359725973738,0.012280325818445001,-0.039378257215857235,-0.1314028060461732,0.14517161123704797
suri1273,Surigaonon,Central Philippine,-5.9739591919777935,3.957514240849696,#565153,-0.011889613,0.003675455,Surigaonon,1,-0.0460233947873577,0.0352343035287966,-0.16894182916253012,0.13761395230005846,0.15997041598924006
taga1270,Marinduque Tagalog; Mindoro Tagalog; Tagalog; Tagalog (Anthony dela Paz),Central Philippine,-2.889388088465968,2.005820776792155,#565153,-0.009385891,0.0019986186,Tagalog,1,-0.03794953378212835,0.03052153747141314,-0.07578654213101953,0.07867202528958699,0.061238130914669245
taus1251,"Tausug, Jolo Dialect",Central Philippine,-4.064067503404999,1.278632867164907,#565153,-0.00647184999999999,0.01577679,Tausug,1,-0.07244504152900313,0.003708292519294457,-0.11126233257205284,0.05671065815817413,0.06569652081532415
tbol1240,Tagabili; Tboli (Tagabili),Tboli-Blaan,-0.7990729186478345,-5.709982752818325,#5C7193,-0.00619036,0.011234926,Tboli,1,-0.05938973035841675,0.009081157852984186,-0.01265818389378087,-0.15434834232692868,0.16997952513180098
tina1248,Sambal,Sambalic,1.0306284752071602,-0.27583184754023776,#F1C878,-0.00924848,-0.0045924,Sambal,1,-0.019371609963916327,0.03907490053159528,0.04259953356731497,0.009765199026481961,0.06855276240157877
tiru1241,Tiruray,Bilic,-0.24030310036074976,-3.9545380157352064,#BA7862,-0.00198590025,0.014003563,Lambanguian; Teduray,2,-0.06141449917335614,-0.0064049941482743015,0.004216889191036688,-0.10133320574448688,0.1154072982765521
west2555,"Manobo, Western Bukidnon; Western Bukidnon Manobo",Manobo,-1.823149925386125,-6.620340343611621,#F16DEF,-0.0011292004838,0.01579113,BukidnonManobo,1,-0.06524093053409272,-0.011219304078556463,-0.043585721079246804,-0.18184150744642055,0.1719909427226853
west2557,"Subanon, Siocon; Western Subanon",Subanen,-3.0322582018070467,-1.6329011741988009,#7CF2D9,-0.01002168199999999,0.008010063,Subanon,1,-0.05558596713339652,0.02414470375253618,-0.08010127697417486,-0.03121884005195215,0.060548512774310656
yoga1237,Yogad,Cagayan Valley,2.58986414239638,0.38493569375848713,#79F287,-0.018461059,-0.006434688,Yogad,1,-0.026722263630817842,0.0672796894371605,0.08968907738149726,0.029720644339675816,0.12232040788405017
