"gloss","wordform","feature","loading"
"to.drink","minum","to.drink::minum",-0.02363208744143
"sharp","matarem","sharp::matarem",-0.0235979393118173
"Four","upát","Four::upát",0.0235969113643988
"woman.female","babay","woman.female::babay",0.0235008720339067
"fruit","búŋa","fruit::búŋa",-0.02348127021996
"dog","idu","dog::idu",0.0234450679039551
"eye","ma'ta","eye::ma'ta",0.023422573495508
"Six","anum","Six::anum",0.0232883477691056
"green","bérde","green::bérde",-0.0232845495502531
"dust","alikabok","dust::alikabok",-0.0232624286346103
"to.see","makita","to.see::makita",0.0231649231507471
"you","ika","you::ika",-0.023161711150036
"father","tata","father::tata",-0.0231350809822312
"green","berde","green::berde",0.023027866626455
"to.pound..beat","bayú","to.pound..beat::bayú",-0.0230212270579526
"sand","baybay","sand::baybay",0.0229916618344803
"to.shoot","mamana","to.shoot::mamana",-0.0229115929441386
"Six","ʔɨ'nɨm","Six::ʔɨ'nɨm",0.0228289786679638
"head","úlu","head::úlu",0.0227661411411169
"to.dig","'kotkot","to.dig::'kotkot",-0.0227611846436647
"rain","udan","rain::udan",-0.0227520909644806
"worm..earthworm.","bolati","worm..earthworm.::bolati",-0.0225656568799145
"mosquito","namok","mosquito::namok",0.0225438782024871
"breast","sosoʔ","breast::sosoʔ",-0.0224546080749699
"head","'ʔolo","head::'ʔolo",-0.0223789342062024
"smoke","aso","smoke::aso",0.0223657278046476
"to.bite","kagát","to.bite::kagát",0.0223004281818532
"smoke","ʔa'sok","smoke::ʔa'sok",0.0222960346122829
"father","amaʔ","father::amaʔ",-0.0222952784507229
"red","pulá","red::pulá",0.022150152490021
"fire","apúy","fire::apúy",0.0221492270836259
"black","itom","black::itom",0.022067482865607
"branch","sanga","branch::sanga",-0.0220281567442374
"wet","basaʔ","wet::basaʔ",-0.0219807899979043
"to.tie.up..fasten","itali","to.tie.up..fasten::itali",-0.0219727951720095
"salt","asin","salt::asin",-0.0219577598844857
"they","sila","they::sila",-0.021931264921904
"sharp","mataram","sharp::mataram",-0.0218423139420374
"Four","ʔo'pat","Four::ʔo'pat",0.0216408092256095
"shoulder","labay","shoulder::labay",0.021612819461372
"thou","ikáw","thou::ikáw",0.0216059626926048
"name","ngayan","name::ngayan",0.0215287375450767
"father","tatay","father::tatay",-0.0214576913580534
"all","tanan","all::tanan",0.0214443861523706
"tooth","ngipan","tooth::ngipan",0.0214055512610615
"to.stab..pierce","saksák","to.stab..pierce::saksák",-0.0214031617464599
"branch","sangá","branch::sangá",0.0213438626838384
"water","danúm","water::danúm",0.0213436719292341
"house","bale","house::bale",-0.0212883345646408
"salt","ʔa'sin","salt::ʔa'sin",0.0212763240144533
"father","amá","father::amá",0.0212486855412954
"to.die..be.dead","matoy","to.die..be.dead::matoy",0.021070476501844
"Four","apát","Four::apát",-0.0209826525830891
"rain","oran","rain::oran",-0.0209039321391074
"skin","balát","skin::balát",-0.0208624200490328
"Six","ʔanɨm","Six::ʔanɨm",-0.0208513417209811
"to.drink","inúm","to.drink::inúm",-0.0208315810839201
"year","taon","year::taon",-0.0207507445719365
"who.","sino","who.::sino",0.020637614808306
"we","kita","we::kita",0.0205014707265913
"to.burn","durók","to.burn::durók",0.0204654958744162
"sea","bay'bay","sea::bay'bay",0.0203744568950758
"to.live..be.alive","biyay","to.live..be.alive::biyay",-0.0203285971697877
"hand","ima","hand::ima",0.0203172565660071
"mother","ʔi'na","mother::ʔi'na",0.0202388481903177
"leaf","'tubu","leaf::'tubu",0.020197597613062
"sky","'langit","sky::'langit",-0.0200438852283909
"leg.foot","bitís","leg.foot::bitís",-0.0200360797550442
"leaf","bulung","leaf::bulung",-0.0199816616875646
"woods.forest","talon","woods.forest::talon",0.0199688357806171
"root","wakat","root::wakat",-0.0198909448319269
"if.","kun","if.::kun",0.0197570198114665
"child","ának","child::ának",-0.0197222145779899
"root","ugat","root::ugat",0.0196909212128584
"year","tuig","year::tuig",0.0196715407536197
"Six","onom","Six::onom",0.0196271769353793
"root","gamut","root::gamut",0.0196257611765649
"new","bago","new::bago",0.0195028553862077
"thatch.roof","atap","thatch.roof::atap",-0.0194542179237464
"neck","bagang","neck::bagang",0.0194384018884289
"root","lamot","root::lamot",0.0193349173234528
"blood","dugô","blood::dugô",0.0193326272664266
"bird","pispis","bird::pispis",0.0193310191195321
"to.drink","uminum","to.drink::uminum",0.019312530658593
"intestines","bitúka","intestines::bitúka",-0.0192970958867295
"and","kan","and::kan",0.0192295952111535
"short","pandák","short::pandák",-0.0191865071534372
"tongue","'dila","tongue::'dila",0.0191671144390265
"this","ini","this::ini",-0.0191320996634133
"dog","aso","dog::aso",-0.0191154127218836
"to.fly","layang","to.fly::layang",-0.0190901316122248
"woman.female","babái","woman.female::babái",-0.0190267945102112
"how.","pila","how.::pila",-0.018931118188587
"root","gamot","root::gamot",0.0189262028653248
"moon","bulán","moon::bulán",0.0188171043859427
"Three","tulu","Three::tulu",0.0188072212874118
"to.hunt","manganop","to.hunt::manganop",0.018795169363174
"if.","kung","if.::kung",0.0187848367005395
"dog","ʔasu","dog::ʔasu",-0.0187768312998282
"year","dagun","year::dagun",0.0187593861133544
"correct..true","ustu","correct..true::ustu",0.0187497896705221
"road.path","charan","road.path::charan",0.0187366064153573
"wind","ángin","wind::ángin",0.0186993573013006
"lightning","ilat","lightning::ilat",0.018685433665143
"good","mayád","good::mayád",0.0186515285540545
"fish","ʔi'kan","fish::ʔi'kan",-0.018634341641841
"to.hide","tago","to.hide::tago",-0.0185971817101251
"child","anák","child::anák",0.0185416644078428
"we","kami","we::kami",-0.0185191667162269
"to.plant","mola","to.plant::mola",-0.0185027135939123
"sand","la'gan","sand::la'gan",0.0183983012268473
"stone","batú","stone::batú",0.0183837250122285
"to.cook","luto","to.cook::luto",-0.0183742995838127
"flower","bulaklak","flower::bulaklak",-0.0183718816489964
"nose","ilóng","nose::ilóng",0.0183640911601451
"lake","danáw","lake::danáw",0.0183557210018624
"stone","ba'to","stone::ba'to",-0.0182520912043788
"dog","ido","dog::ido",0.0181327576898091
"Three","tatló","Three::tatló",0.0180994147997873
"red","pula","red::pula",0.0180822847236417
"mother","iná","mother::iná",0.0180219833843834
"hand","bɨlad","hand::bɨlad",-0.0179987675790571
"to.dig","kotkot","to.dig::kotkot",-0.0179733829590965
"tongue","díla","tongue::díla",0.0179387040199353
"rain","urán","rain::urán",0.0179275847725246
"ear","inga","ear::inga",0.0178725464348334
"Nine","hiyam","Nine::hiyam",-0.0178419638243467
"hand","dalúkap","hand::dalúkap",0.0178053401071694
"night","labí","night::labí",0.0177562806468687
"earth.soil","tanaʔ","earth.soil::tanaʔ",-0.0177395704802368
"woods.forest","gúbat","woods.forest::gúbat",-0.0177276862187919
"hair","buhók","hair::buhók",0.0176395801554423
"tooth","ŋipon","tooth::ŋipon",-0.0175747899334264
"to.cry","akis","to.cry::akis",-0.0175698597258509
"root","uyat","root::uyat",-0.017523410731772
"if.","nu","if.::nu",0.0175170399844893
"Three","tallu","Three::tallu",0.017513357758084
"lake","dánaw","lake::dánaw",0.0174556607134484
"star","ta'law","star::ta'law",0.0174551835302141
"to.buy","bakál","to.buy::bakál",0.0174389192962014
"sky","banua","sky::banua",-0.0173735561584327
"to.choose","píliʔ","to.choose::píliʔ",0.0173174956984424
"root","dalid","root::dalid",-0.0172774636716471
"to.count","bílaŋ","to.count::bílaŋ",-0.0172426990305782
"rotten","lubók","rotten::lubók",0.0172405363666553
"stone","ba'tu","stone::ba'tu",0.0171910517997111
"belly","bituka","belly::bituka",-0.0171522416579887
"feather","la'wi","feather::la'wi",0.0171494810126297
"right","ziwanan","right::ziwanan",0.0170165254473171
"big","dakal","big::dakal",0.0169999359882342
"nose","ilong","nose::ilong",0.0169752593732649
"bone","tulang","bone::tulang",0.0169655286139225
"neck","ba'gang","neck::ba'gang",0.016963490051789
"ash","abó","ash::abó",0.0169410917670105
"head","'ʔulu","head::'ʔulu",0.0168034176385109
"to.grow","tumubo","to.grow::tumubo",-0.0167490928857731
"wing","payaʔ","wing::payaʔ",0.016742299441633
"blood","dugo","blood::dugo",0.016724512515071
"leg.foot","paʔa","leg.foot::paʔa",-0.0166968660843055
"stick.wood","káyu","stick.wood::káyu",0.0166696901811034
"name","aran","name::aran",0.016640620321901
"to.dig","kalî","to.dig::kalî",0.0166274491507461
"and","ya","and::ya",0.016624018224023
"fire","ʔapuy","fire::ʔapuy",0.0165810982183974
"head","ʔulu","head::ʔulu",-0.0164863909402591
"this","iní","this::iní",-0.0163662586635536
"lake","lanaw","lake::lanaw",-0.016254885497322
"what.","ano","what.::ano",0.016230394432232
"spider","kakawwa","spider::kakawwa",0.0162190105433568
"year","ta'wɨn","year::ta'wɨn",0.0162063633159964
"to.die..be.dead","matáy","to.die..be.dead::matáy",0.0161716576326064
"water","danum","water::danum",0.0161388791581337
"to.hit","hampák","to.hit::hampák",0.0160706542051596
"stick.wood","kayu","stick.wood::kayu",-0.0160488032014315
"he.she","tana","he.she::tana",0.0159590624002017
"hand","lima","hand::lima",0.0159170097124298
"sky","láŋit","sky::láŋit",0.0158999616881028
"to.shoot","pana","to.shoot::pana",-0.0158650493245611
"no..not","awan","no..not::awan",0.0157892485605578
"to.count","'bilang","to.count::'bilang",0.0157822113422243
"flower","bulaklák","flower::bulaklák",0.0157712000675581
"to.choose","mamili","to.choose::mamili",-0.015743250548273
"blood","dugúʔ","blood::dugúʔ",0.0157178236275023
"salt","timus","salt::timus",-0.015693671837894
"intestines","'bagis","intestines::'bagis",0.0156734192603156
"nose","ʔilung","nose::ʔilung",-0.015672077862321
"back","likod","back::likod",0.015664541027793
"fruit","buŋa","fruit::buŋa",0.0156431513076973
"smoke","asuk","smoke::asuk",-0.0156056212840249
"skin","gaddang","skin::gaddang",0.0155353952267878
"name","ŋáran","name::ŋáran",0.0155051053998448
"yellow","madiláw","yellow::madiláw",0.0154801255637902
"ear","talínga","ear::talínga",0.0154343190261149
"in..inside","ha","in..inside::ha",-0.0154114134447515
"sky","lángit","sky::lángit",0.015410794521318
"to.die..be.dead","natay","to.die..be.dead::natay",0.015390090559167
"thatch.roof","atep","thatch.roof::atep",-0.0153389312391665
"fog","ambon","fog::ambon",0.0153065874662888
"Fifty","singkwénta","Fifty::singkwénta",0.0153017258814429
"wife","asawa","wife::asawa",-0.0152965291808273
"thou","ikaw","thou::ikaw",0.0152194917484944
"to.eat","ma'ngan","to.eat::ma'ngan",-0.0152039746039466
"house","balɨy","house::balɨy",-0.0152029377529437
"to.vomit","suka","to.vomit::suka",-0.0151443091844438
"to.choose","'pili","to.choose::'pili",0.0151075857609432
"leg.foot","sikí","leg.foot::sikí",0.0150987926714229
"all","ngamin","all::ngamin",0.0150948761275279
"back","pɨka","back::pɨka",-0.0150895653774917
"Twenty","duwapolo","Twenty::duwapolo",0.0150190520885972
"mother","nanay","mother::nanay",-0.0149981157359347
"this","yaw","this::yaw",0.014974626388455
"you","kaw","you::kaw",-0.0149582015091953
"star","bituón","star::bituón",0.0149403016593306
"to.count","bilang","to.count::bilang",-0.0149390679662018
"fruit","boa","fruit::boa",0.014915321823276
"Ten","sampolo","Ten::sampolo",0.0149056797131451
"fruit","burak","fruit::burak",0.0147866474196877
"all","ʔa'min","all::ʔa'min",0.0147715521409381
"salt","ʔasín","salt::ʔasín",0.0147512664017535
"neck","buʔlaw","neck::buʔlaw",0.0147421441195616
"to.buy","bumilí","to.buy::bumilí",0.0147329747641381
"Seven","pito","Seven::pito",-0.0146979817096997
"meat.flesh","karne","meat.flesh::karne",0.0146460794375474
"thatch.roof","atop","thatch.roof::atop",0.0146374829478721
"to.swim","kiyát","to.swim::kiyát",0.0146233358450058
"big","dako","big::dako",0.014614896686454
"louse","utu","louse::utu",0.0144705292153084
"woman.female","ba'baʔi","woman.female::ba'baʔi",0.0144070669297818
"fat.grease","tambok","fat.grease::tambok",0.0143810146024976
"wet","nabasa","wet::nabasa",0.0143566107735131
"tongue","dílaʔ","tongue::dílaʔ",0.0143414754488743
"rope","tali","rope::tali",-0.01427664470302
"to.vomit","'ʔuta","to.vomit::'ʔuta",0.0142714582250238
"lightning","kílat","lightning::kílat",0.0142453142515033
"bad..evil","masamâ","bad..evil::masamâ",0.0141681710236239
"to.drink","ʔuminum","to.drink::ʔuminum",0.0141500588808019
"feather","dutdut","feather::dutdut",0.0141467389208588
"mosquito","lamok","mosquito::lamok",0.0141157391785328
"sand","baras","sand::baras",0.0141155892240527
"warm","mainit","warm::mainit",0.0141035132244962
"to.choose","píli","to.choose::píli",0.0141001039114204
