fid,iid,father,mother,sex,phenotype,population,matched,latitude,longitude
AytaMagbukon,AB-04,0,0,0,-9,AytaMagbukon,True,14.68,120.44
AytaMagbukon,AB-05,0,0,0,-9,AytaMagbukon,True,14.68,120.44
AytaMagbukon,AB-06,0,0,0,-9,AytaMagbukon,True,14.68,120.44
AytaMagbukon,AB-07,0,0,0,-9,AytaMagbukon,True,14.68,120.44
AytaMagbukon,AB-09,0,0,0,-9,AytaMagbukon,True,14.68,120.44
AytaMagbukon,AB-10,0,0,0,-9,AytaMagbukon,True,14.68,120.44
AytaMag-indi,MI-01,0,0,0,-9,AytaMag-indi,True,15.03,120.53
AytaMag-indi,MI-02,0,0,0,-9,AytaMag-indi,True,15.03,120.53
AytaMag-indi,MI-03,0,0,0,-9,AytaMag-indi,True,15.03,120.53
AytaMag-indi,MI-04,0,0,0,-9,AytaMag-indi,True,15.03,120.53
AytaMag-indi,MI-05,0,0,0,-9,AytaMag-indi,True,15.03,120.53
AytaMag-indi,MI-06,0,0,0,-9,AytaMag-indi,True,15.03,120.53
AytaMag-indi,MI-07,0,0,0,-9,AytaMag-indi,True,15.03,120.53
AytaMag-indi,MI-10,0,0,0,-9,AytaMag-indi,True,15.03,120.53
AytaMag-indi,MI-12,0,0,0,-9,AytaMag-indi,True,15.03,120.53
AytaMag-indi,MI-13,0,0,0,-9,AytaMag-indi,True,15.03,120.53
AytaSambal,Sam-01,0,0,0,-9,AytaSambal,True,15.29,120.03
AytaSambal,Sam-02,0,0,0,-9,AytaSambal,True,15.29,120.03
AytaSambal,Sam-03,0,0,0,-9,AytaSambal,True,15.29,120.03
AytaSambal,Sam-04,0,0,0,-9,AytaSambal,True,15.29,120.03
AytaSambal,Zambal-05,0,0,0,-9,AytaSambal,True,15.29,120.03
AytaSambal,Zambal-07,0,0,0,-9,AytaSambal,True,15.29,120.03
AytaSambal,Zambal-08,0,0,0,-9,AytaSambal,True,15.29,120.03
AytaSambal,Zambal-09,0,0,0,-9,AytaSambal,True,15.29,120.03
AytaSambal,Zambal-10,0,0,0,-9,AytaSambal,True,15.29,120.03
BagoboKlata,KLA-01,0,0,0,-9,BagoboKlata,True,7.16,125.42
BagoboKlata,KLA-02,0,0,0,-9,BagoboKlata,True,7.16,125.42
BagoboKlata,KLA-03,0,0,0,-9,BagoboKlata,True,7.16,125.42
BagoboKlata,KLA-04,0,0,0,-9,BagoboKlata,True,7.16,125.42
BagoboKlata,KLA-05,0,0,0,-9,BagoboKlata,True,7.16,125.42
BagoboKlata,KLA-12,0,0,0,-9,BagoboKlata,True,7.16,125.42
BagoboKlata,KLA-13,0,0,0,-9,BagoboKlata,True,7.16,125.42
BagoboKlata,KLA-14,0,0,0,-9,BagoboKlata,True,7.16,125.42
BagoboKlata,KLA-15,0,0,0,-9,BagoboKlata,True,7.16,125.42
BagoboKlata,KLA-16,0,0,0,-9,BagoboKlata,True,7.16,125.42
Balangao,Blg-03,0,0,0,-9,Balangao,True,17.2333,121.2167
